dataset,dataset_display,model,class_label,num_classes,tpr_at_1pct_fpr,tpr_mean,tpr_std,class_size,n_members,n_nonmembers,n_seeds,granularity_group,model_display
locations,locations,tabnet,0,10,0.031746031746031744,0.053769841269841266,0.07236081460674539,127.0,63.0,64.0,5,Multiclass,TabNet
locations,locations,tabnet,1,10,0.0,0.021356421356421358,0.03948395806228562,132.0,66.0,66.0,5,Multiclass,TabNet
locations,locations,tabnet,2,10,0.0,0.0272375854891466,0.05165939294630238,112.0,56.0,56.0,5,Multiclass,TabNet
locations,locations,tabnet,3,10,0.031746031746031744,0.03654765328622102,0.04115233112356857,124.0,62.0,62.0,5,Multiclass,TabNet
locations,locations,tabnet,4,10,0.02702702702702703,0.08921915263378677,0.11908627482843881,74.0,37.0,37.0,5,Multiclass,TabNet
locations,locations,tabnet,5,10,0.030303030303030304,0.03994457060532806,0.043422273517336026,137.0,68.0,69.0,5,Multiclass,TabNet
locations,locations,tabnet,6,10,0.020833333333333332,0.026603803997421016,0.03745788361116967,87.0,44.0,43.0,5,Multiclass,TabNet
locations,locations,tabnet,7,10,0.036036036036036036,0.03865124299089896,0.02933388999876005,227.0,113.0,114.0,5,Multiclass,TabNet
locations,locations,tabnet,8,10,0.05172413793103448,0.03627075351213282,0.034172126236294675,113.0,57.0,56.0,5,Multiclass,TabNet
locations,locations,tabnet,9,10,0.05263157894736842,0.053385630800687436,0.0382669234797772,148.0,74.0,74.0,5,Multiclass,TabNet
url,url,lightgbm,0,2,0.049342105263157895,0.047521885911308126,0.005502377374744445,4294.0,2147.0,2147.0,5,Binary,LightGBM
url,url,lightgbm,1,2,0.04541241890639481,0.046196592440989726,0.006856613885433398,4278.0,2139.0,2139.0,5,Binary,LightGBM
url,url,mlp,0,2,0.01268796992481203,0.011656246463142976,0.00753640036460714,4294.0,2147.0,2147.0,5,Binary,MLP
url,url,mlp,1,2,0.007947639083683964,0.009419438716495034,0.0028428114672070376,4278.0,2139.0,2139.0,5,Binary,MLP
url,url,rf,0,2,0.12406015037593984,0.15130433078702746,0.0635464304880346,4294.0,2147.0,2147.0,5,Binary,RF
url,url,rf,1,2,0.10333642261353104,0.11140788656814407,0.027163408443895087,4278.0,2139.0,2139.0,5,Binary,RF
url,url,tabnet,0,2,0.029809035863996275,0.02922254179283998,0.003235630991740827,4294.0,2147.0,2147.0,5,Binary,TabNet
url,url,tabnet,1,2,0.03225806451612903,0.03154299424833832,0.00499284621421454,4278.0,2139.0,2139.0,5,Binary,TabNet
us_stocks_financial,us_stocks_financial,lightgbm,0,2,0.0199203187250996,0.031879104692062676,0.01865701362057433,1030.0,515.0,515.0,5,Binary,LightGBM
us_stocks_financial,us_stocks_financial,lightgbm,1,2,0.023580786026200874,0.029858019500059757,0.016821433232002733,2264.0,1132.0,1132.0,5,Binary,LightGBM
us_stocks_financial,us_stocks_financial,mlp,0,2,0.04183266932270916,0.043061155676034545,0.011707260719620381,1030.0,515.0,515.0,5,Binary,MLP
us_stocks_financial,us_stocks_financial,mlp,1,2,0.007067137809187279,0.008251551417401002,0.005015972701484475,2264.0,1132.0,1132.0,5,Binary,MLP
us_stocks_financial,us_stocks_financial,rf,0,2,0.028790786948176585,0.05016205889083817,0.06400723030343113,1030.0,515.0,515.0,5,Binary,RF
us_stocks_financial,us_stocks_financial,rf,1,2,0.02925531914893617,0.038781076187014284,0.02590262891308418,2264.0,1132.0,1132.0,5,Binary,RF
us_stocks_financial,us_stocks_financial,tabnet,0,2,0.02111324376199616,0.017937719442197422,0.011107864226534637,1030.0,515.0,515.0,5,Binary,TabNet
us_stocks_financial,us_stocks_financial,tabnet,1,2,0.0026200873362445414,0.005835107154130997,0.005707376507228399,2264.0,1132.0,1132.0,5,Binary,TabNet
