dataset,dataset_display,model,seed,class_label,num_classes,class_size,n_members,n_nonmembers,tpr_at_1pct_fpr
46980_MIC,MIC,mlp,2,0,5,1069,535,534,0.028037383177570093
46980_MIC,MIC,mlp,2,1,5,16,8,8,1.0
46980_MIC,MIC,mlp,2,2,5,87,43,44,0.3953488372093023
46980_MIC,MIC,mlp,2,3,5,42,21,21,0.7619047619047619
46980_MIC,MIC,mlp,2,4,5,20,10,10,1.0
46980_MIC,MIC,mlp,3,0,5,1068,534,534,0.05056179775280899
46980_MIC,MIC,mlp,3,1,5,21,10,11,1.0
46980_MIC,MIC,mlp,3,2,5,85,43,42,0.3023255813953488
46980_MIC,MIC,mlp,3,3,5,37,19,18,0.7894736842105263
46980_MIC,MIC,mlp,3,4,5,23,11,12,1.0
46980_MIC,MIC,mlp,4,0,5,1081,541,540,0.04251386321626617
46980_MIC,MIC,mlp,4,1,5,18,9,9,1.0
46980_MIC,MIC,mlp,4,2,5,76,38,38,0.0
46980_MIC,MIC,mlp,4,3,5,38,19,19,0.7368421052631579
46980_MIC,MIC,mlp,4,4,5,21,10,11,1.0
46980_MIC,MIC,mlp,5,0,5,1065,533,532,0.009380863039399626
46980_MIC,MIC,mlp,5,1,5,21,10,11,1.0
46980_MIC,MIC,mlp,5,2,5,83,42,41,0.23809523809523808
46980_MIC,MIC,mlp,5,3,5,43,21,22,0.8095238095238095
46980_MIC,MIC,mlp,5,4,5,22,11,11,1.0
46980_MIC,MIC,real-tabpfn,1,0,5,1084,542,542,0.00922509225092251
46980_MIC,MIC,real-tabpfn,1,1,5,18,9,9,0.8888888888888888
46980_MIC,MIC,real-tabpfn,1,2,5,80,40,40,0.25
46980_MIC,MIC,real-tabpfn,1,3,5,37,19,18,0.8421052631578947
46980_MIC,MIC,real-tabpfn,1,4,5,15,7,8,1.0
46980_MIC,MIC,real-tabpfn,2,0,5,1069,535,534,0.018691588785046728
46980_MIC,MIC,real-tabpfn,2,1,5,16,8,8,0.875
46980_MIC,MIC,real-tabpfn,2,2,5,87,43,44,0.0
46980_MIC,MIC,real-tabpfn,2,3,5,42,21,21,0.9047619047619048
46980_MIC,MIC,real-tabpfn,2,4,5,20,10,10,1.0
46980_MIC,MIC,real-tabpfn,3,0,5,1068,534,534,0.0449438202247191
46980_MIC,MIC,real-tabpfn,3,1,5,21,10,11,1.0
46980_MIC,MIC,real-tabpfn,3,2,5,85,43,42,0.4883720930232558
46980_MIC,MIC,real-tabpfn,3,3,5,37,19,18,0.0
46980_MIC,MIC,real-tabpfn,3,4,5,23,11,12,1.0
46980_MIC,MIC,real-tabpfn,4,0,5,1081,541,540,0.005545286506469501
46980_MIC,MIC,real-tabpfn,4,1,5,18,9,9,0.8888888888888888
46980_MIC,MIC,real-tabpfn,4,2,5,76,38,38,0.0
46980_MIC,MIC,real-tabpfn,4,3,5,38,19,19,0.631578947368421
46980_MIC,MIC,real-tabpfn,4,4,5,21,10,11,0.7
46980_MIC,MIC,real-tabpfn,5,0,5,1065,533,532,0.013133208255159476
46980_MIC,MIC,real-tabpfn,5,1,5,21,10,11,0.7
46980_MIC,MIC,real-tabpfn,5,2,5,83,42,41,0.2857142857142857
46980_MIC,MIC,real-tabpfn,5,3,5,43,21,22,0.2857142857142857
46980_MIC,MIC,real-tabpfn,5,4,5,22,11,11,0.9090909090909091
46980_MIC,MIC,rf,1,0,5,1084,542,542,0.0018450184501845018
46980_MIC,MIC,rf,1,1,5,18,9,9,0.8888888888888888
46980_MIC,MIC,rf,1,2,5,80,40,40,0.25
46980_MIC,MIC,rf,1,3,5,37,19,18,0.631578947368421
46980_MIC,MIC,rf,1,4,5,15,7,8,0.0
46980_MIC,MIC,rf,2,0,5,1069,535,534,0.014953271028037384
46980_MIC,MIC,rf,2,1,5,16,8,8,1.0
46980_MIC,MIC,rf,2,2,5,87,43,44,0.0
46980_MIC,MIC,rf,2,3,5,42,21,21,0.0
46980_MIC,MIC,rf,2,4,5,20,10,10,0.7
46980_MIC,MIC,rf,3,0,5,1068,534,534,0.026217228464419477
46980_MIC,MIC,rf,3,1,5,21,10,11,1.0
46980_MIC,MIC,rf,3,2,5,85,43,42,0.3488372093023256
46980_MIC,MIC,rf,3,3,5,37,19,18,1.0
46980_MIC,MIC,rf,3,4,5,23,11,12,1.0
46980_MIC,MIC,rf,4,0,5,1081,541,540,0.014787430683918669
46980_MIC,MIC,rf,4,1,5,18,9,9,0.6666666666666666
46980_MIC,MIC,rf,4,2,5,76,38,38,0.18421052631578946
46980_MIC,MIC,rf,4,3,5,38,19,19,0.3157894736842105
46980_MIC,MIC,rf,4,4,5,21,10,11,0.0
46980_MIC,MIC,rf,5,0,5,1065,533,532,0.0225140712945591
46980_MIC,MIC,rf,5,1,5,21,10,11,0.7
46980_MIC,MIC,rf,5,2,5,83,42,41,0.23809523809523808
46980_MIC,MIC,rf,5,3,5,43,21,22,0.0
46980_MIC,MIC,rf,5,4,5,22,11,11,0.8181818181818182
46980_MIC,MIC,tabdpt,1,0,5,1084,542,542,0.08856088560885608
46980_MIC,MIC,tabdpt,1,1,5,18,9,9,1.0
46980_MIC,MIC,tabdpt,1,2,5,80,40,40,0.775
46980_MIC,MIC,tabdpt,1,3,5,37,19,18,1.0
46980_MIC,MIC,tabdpt,1,4,5,15,7,8,1.0
46980_MIC,MIC,tabdpt,2,0,5,1069,535,534,0.011214953271028037
46980_MIC,MIC,tabdpt,2,1,5,16,8,8,1.0
46980_MIC,MIC,tabdpt,2,2,5,87,43,44,0.9534883720930233
46980_MIC,MIC,tabdpt,2,3,5,42,21,21,1.0
46980_MIC,MIC,tabdpt,2,4,5,20,10,10,1.0
46980_MIC,MIC,tabdpt,3,0,5,1068,534,534,0.07677902621722846
46980_MIC,MIC,tabdpt,3,1,5,21,10,11,1.0
46980_MIC,MIC,tabdpt,3,2,5,85,43,42,0.6976744186046512
46980_MIC,MIC,tabdpt,3,3,5,37,19,18,1.0
46980_MIC,MIC,tabdpt,3,4,5,23,11,12,1.0
46980_MIC,MIC,tabdpt,4,0,5,1081,541,540,0.11829944547134935
46980_MIC,MIC,tabdpt,4,1,5,18,9,9,1.0
46980_MIC,MIC,tabdpt,4,2,5,76,38,38,0.9736842105263158
46980_MIC,MIC,tabdpt,4,3,5,38,19,19,1.0
46980_MIC,MIC,tabdpt,4,4,5,21,10,11,1.0
46980_MIC,MIC,tabdpt,5,0,5,1065,533,532,0.06378986866791744
46980_MIC,MIC,tabdpt,5,1,5,21,10,11,1.0
46980_MIC,MIC,tabdpt,5,2,5,83,42,41,1.0
46980_MIC,MIC,tabdpt,5,3,5,43,21,22,1.0
46980_MIC,MIC,tabdpt,5,4,5,22,11,11,1.0
46980_MIC,MIC,tabicl,1,0,5,1084,542,542,0.04981549815498155
46980_MIC,MIC,tabicl,1,1,5,18,9,9,1.0
46980_MIC,MIC,tabicl,1,2,5,80,40,40,0.0
46980_MIC,MIC,tabicl,1,3,5,37,19,18,0.8421052631578947
46980_MIC,MIC,tabicl,1,4,5,15,7,8,1.0
46980_MIC,MIC,tabicl,2,0,5,1069,535,534,0.07850467289719626
46980_MIC,MIC,tabicl,2,1,5,16,8,8,1.0
46980_MIC,MIC,tabicl,2,2,5,87,43,44,0.4186046511627907
46980_MIC,MIC,tabicl,2,3,5,42,21,21,0.8095238095238095
46980_MIC,MIC,tabicl,2,4,5,20,10,10,1.0
46980_MIC,MIC,tabicl,3,0,5,1068,534,534,0.04868913857677903
46980_MIC,MIC,tabicl,3,1,5,21,10,11,1.0
46980_MIC,MIC,tabicl,3,2,5,85,43,42,0.23255813953488372
46980_MIC,MIC,tabicl,3,3,5,37,19,18,1.0
46980_MIC,MIC,tabicl,3,4,5,23,11,12,1.0
46980_MIC,MIC,tabicl,4,0,5,1081,541,540,0.04621072088724584
46980_MIC,MIC,tabicl,4,1,5,18,9,9,1.0
46980_MIC,MIC,tabicl,4,2,5,76,38,38,0.5789473684210527
46980_MIC,MIC,tabicl,4,3,5,38,19,19,0.7894736842105263
46980_MIC,MIC,tabicl,4,4,5,21,10,11,1.0
46980_MIC,MIC,tabicl,5,0,5,1065,533,532,0.06378986866791744
46980_MIC,MIC,tabicl,5,1,5,21,10,11,0.0
46980_MIC,MIC,tabicl,5,2,5,83,42,41,0.8095238095238095
46980_MIC,MIC,tabicl,5,3,5,43,21,22,0.9523809523809523
46980_MIC,MIC,tabicl,5,4,5,22,11,11,1.0
46980_MIC,MIC,tabnet,1,0,5,1084,542,542,0.0018450184501845018
46980_MIC,MIC,tabnet,1,1,5,18,9,9,1.0
46980_MIC,MIC,tabnet,1,2,5,80,40,40,0.025
46980_MIC,MIC,tabnet,1,3,5,37,19,18,0.10526315789473684
46980_MIC,MIC,tabnet,1,4,5,15,7,8,0.8571428571428571
46980_MIC,MIC,tabnet,2,0,5,1069,535,534,0.013084112149532711
46980_MIC,MIC,tabnet,2,1,5,16,8,8,0.875
46980_MIC,MIC,tabnet,2,2,5,87,43,44,0.0
46980_MIC,MIC,tabnet,2,3,5,42,21,21,0.09523809523809523
46980_MIC,MIC,tabnet,2,4,5,20,10,10,1.0
46980_MIC,MIC,tabnet,3,0,5,1068,534,534,0.026217228464419477
46980_MIC,MIC,tabnet,3,1,5,21,10,11,1.0
46980_MIC,MIC,tabnet,3,2,5,85,43,42,0.20930232558139536
46980_MIC,MIC,tabnet,3,3,5,37,19,18,0.2631578947368421
46980_MIC,MIC,tabnet,3,4,5,23,11,12,0.7272727272727273
46980_MIC,MIC,tabnet,4,0,5,1081,541,540,0.012939001848428836
46980_MIC,MIC,tabnet,4,1,5,18,9,9,1.0
46980_MIC,MIC,tabnet,4,2,5,76,38,38,0.23684210526315788
46980_MIC,MIC,tabnet,4,3,5,38,19,19,0.5789473684210527
46980_MIC,MIC,tabnet,4,4,5,21,10,11,0.7
46980_MIC,MIC,tabnet,5,0,5,1065,533,532,0.013133208255159476
46980_MIC,MIC,tabnet,5,1,5,21,10,11,0.9
46980_MIC,MIC,tabnet,5,2,5,83,42,41,0.0
46980_MIC,MIC,tabnet,5,3,5,43,21,22,1.0
46980_MIC,MIC,tabnet,5,4,5,22,11,11,0.36363636363636365
46980_MIC,MIC,tabpfn,1,0,5,1084,542,542,0.005535055350553505
46980_MIC,MIC,tabpfn,1,1,5,18,9,9,1.0
46980_MIC,MIC,tabpfn,1,2,5,80,40,40,0.2
46980_MIC,MIC,tabpfn,1,3,5,37,19,18,1.0
46980_MIC,MIC,tabpfn,1,4,5,15,7,8,1.0
46980_MIC,MIC,tabpfn,2,0,5,1069,535,534,0.014953271028037384
46980_MIC,MIC,tabpfn,2,1,5,16,8,8,1.0
46980_MIC,MIC,tabpfn,2,2,5,87,43,44,0.0
46980_MIC,MIC,tabpfn,2,3,5,42,21,21,0.8571428571428571
46980_MIC,MIC,tabpfn,2,4,5,20,10,10,1.0
46980_MIC,MIC,tabpfn,3,0,5,1068,534,534,0.04307116104868914
46980_MIC,MIC,tabpfn,3,1,5,21,10,11,1.0
46980_MIC,MIC,tabpfn,3,2,5,85,43,42,0.5116279069767442
46980_MIC,MIC,tabpfn,3,3,5,37,19,18,0.0
46980_MIC,MIC,tabpfn,3,4,5,23,11,12,1.0
46980_MIC,MIC,tabpfn,4,0,5,1081,541,540,0.005545286506469501
46980_MIC,MIC,tabpfn,4,1,5,18,9,9,0.8888888888888888
46980_MIC,MIC,tabpfn,4,2,5,76,38,38,0.0
46980_MIC,MIC,tabpfn,4,3,5,38,19,19,0.631578947368421
46980_MIC,MIC,tabpfn,4,4,5,21,10,11,0.8
46980_MIC,MIC,tabpfn,5,0,5,1065,533,532,0.016885553470919325
46980_MIC,MIC,tabpfn,5,1,5,21,10,11,0.7
46980_MIC,MIC,tabpfn,5,2,5,83,42,41,0.2857142857142857
46980_MIC,MIC,tabpfn,5,3,5,43,21,22,0.38095238095238093
46980_MIC,MIC,tabpfn,5,4,5,22,11,11,0.9090909090909091
credit_rating,credit_rating,lightgbm,1,0,10,293,136,157,0.1323529411764706
credit_rating,credit_rating,lightgbm,1,1,10,68,27,41,0.0
credit_rating,credit_rating,lightgbm,1,2,10,6,4,2,1.0
credit_rating,credit_rating,lightgbm,1,3,10,217,118,99,0.0
credit_rating,credit_rating,lightgbm,1,4,10,367,195,172,0.0
credit_rating,credit_rating,lightgbm,1,5,10,510,246,264,0.04878048780487805
credit_rating,credit_rating,lightgbm,1,6,10,2,1,1,1.0
credit_rating,credit_rating,lightgbm,1,7,10,5,4,1,1.0
credit_rating,credit_rating,lightgbm,1,8,10,52,29,23,1.0
credit_rating,credit_rating,lightgbm,1,9,10,1,0,1,
credit_rating,credit_rating,lightgbm,2,0,9,285,139,146,0.2589928057553957
credit_rating,credit_rating,lightgbm,2,1,9,69,42,27,0.0
credit_rating,credit_rating,lightgbm,2,2,9,6,4,2,1.0
credit_rating,credit_rating,lightgbm,2,3,9,220,99,121,0.7878787878787878
credit_rating,credit_rating,lightgbm,2,4,9,365,190,175,0.5105263157894737
credit_rating,credit_rating,lightgbm,2,5,9,521,267,254,0.3408239700374532
credit_rating,credit_rating,lightgbm,2,6,9,1,0,1,
credit_rating,credit_rating,lightgbm,2,7,9,3,1,2,1.0
credit_rating,credit_rating,lightgbm,2,8,9,51,18,33,1.0
credit_rating,credit_rating,lightgbm,3,0,10,308,147,161,0.25170068027210885
credit_rating,credit_rating,lightgbm,3,1,10,65,28,37,0.75
credit_rating,credit_rating,lightgbm,3,2,10,6,3,3,1.0
credit_rating,credit_rating,lightgbm,3,3,10,222,112,110,0.375
credit_rating,credit_rating,lightgbm,3,4,10,365,183,182,0.2568306010928962
credit_rating,credit_rating,lightgbm,3,5,10,494,254,240,0.14960629921259844
credit_rating,credit_rating,lightgbm,3,6,10,2,1,1,1.0
credit_rating,credit_rating,lightgbm,3,7,10,5,1,4,1.0
credit_rating,credit_rating,lightgbm,3,8,10,53,30,23,1.0
credit_rating,credit_rating,lightgbm,3,9,10,1,1,0,
credit_rating,credit_rating,lightgbm,4,0,9,296,168,128,0.22023809523809523
credit_rating,credit_rating,lightgbm,4,1,9,66,34,32,0.0
credit_rating,credit_rating,lightgbm,4,2,9,2,0,2,
credit_rating,credit_rating,lightgbm,4,3,9,229,115,114,0.5043478260869565
credit_rating,credit_rating,lightgbm,4,4,9,364,161,203,0.4409937888198758
credit_rating,credit_rating,lightgbm,4,5,9,506,254,252,0.20078740157480315
credit_rating,credit_rating,lightgbm,4,6,9,1,1,0,
credit_rating,credit_rating,lightgbm,4,7,9,5,2,3,1.0
credit_rating,credit_rating,lightgbm,4,8,9,52,25,27,0.96
credit_rating,credit_rating,lightgbm,5,0,10,313,158,155,0.22784810126582278
credit_rating,credit_rating,lightgbm,5,1,10,73,40,33,0.0
credit_rating,credit_rating,lightgbm,5,2,10,3,1,2,1.0
credit_rating,credit_rating,lightgbm,5,3,10,215,118,97,0.0
credit_rating,credit_rating,lightgbm,5,4,10,367,176,191,0.0
credit_rating,credit_rating,lightgbm,5,5,10,501,241,260,0.25311203319502074
credit_rating,credit_rating,lightgbm,5,6,10,1,0,1,
credit_rating,credit_rating,lightgbm,5,7,10,4,1,3,1.0
credit_rating,credit_rating,lightgbm,5,8,10,43,25,18,0.84
credit_rating,credit_rating,lightgbm,5,9,10,1,0,1,
credit_rating,credit_rating,mlp,1,0,10,293,136,157,0.022058823529411766
credit_rating,credit_rating,mlp,1,1,10,68,27,41,0.0
credit_rating,credit_rating,mlp,1,2,10,6,4,2,0.25
credit_rating,credit_rating,mlp,1,3,10,217,118,99,0.01694915254237288
credit_rating,credit_rating,mlp,1,4,10,367,195,172,0.02564102564102564
credit_rating,credit_rating,mlp,1,5,10,510,246,264,0.008130081300813009
credit_rating,credit_rating,mlp,1,6,10,2,1,1,0.0
credit_rating,credit_rating,mlp,1,7,10,5,4,1,1.0
credit_rating,credit_rating,mlp,1,8,10,52,29,23,0.034482758620689655
credit_rating,credit_rating,mlp,1,9,10,1,0,1,
credit_rating,credit_rating,mlp,2,0,9,285,139,146,0.0
credit_rating,credit_rating,mlp,2,1,9,69,42,27,0.0
credit_rating,credit_rating,mlp,2,2,9,6,4,2,0.75
credit_rating,credit_rating,mlp,2,3,9,220,99,121,0.0
credit_rating,credit_rating,mlp,2,4,9,365,190,175,0.0
credit_rating,credit_rating,mlp,2,5,9,521,267,254,0.0
credit_rating,credit_rating,mlp,2,6,9,1,0,1,
credit_rating,credit_rating,mlp,2,7,9,3,1,2,0.0
credit_rating,credit_rating,mlp,2,8,9,51,18,33,0.0
credit_rating,credit_rating,mlp,3,0,10,308,147,161,0.0
credit_rating,credit_rating,mlp,3,1,10,65,28,37,0.0
credit_rating,credit_rating,mlp,3,2,10,6,3,3,0.0
credit_rating,credit_rating,mlp,3,3,10,222,112,110,0.017857142857142856
credit_rating,credit_rating,mlp,3,4,10,365,183,182,0.04918032786885246
credit_rating,credit_rating,mlp,3,5,10,494,254,240,0.015748031496062992
credit_rating,credit_rating,mlp,3,6,10,2,1,1,0.0
credit_rating,credit_rating,mlp,3,7,10,5,1,4,1.0
credit_rating,credit_rating,mlp,3,8,10,53,30,23,0.13333333333333333
credit_rating,credit_rating,mlp,3,9,10,1,1,0,
credit_rating,credit_rating,mlp,4,0,9,296,168,128,0.011904761904761904
credit_rating,credit_rating,mlp,4,1,9,66,34,32,0.058823529411764705
credit_rating,credit_rating,mlp,4,2,9,2,0,2,
credit_rating,credit_rating,mlp,4,3,9,229,115,114,0.0
credit_rating,credit_rating,mlp,4,4,9,364,161,203,0.0
credit_rating,credit_rating,mlp,4,5,9,506,254,252,0.007874015748031496
credit_rating,credit_rating,mlp,4,6,9,1,1,0,
credit_rating,credit_rating,mlp,4,7,9,5,2,3,0.5
credit_rating,credit_rating,mlp,4,8,9,52,25,27,0.04
credit_rating,credit_rating,mlp,5,0,10,313,158,155,0.02531645569620253
credit_rating,credit_rating,mlp,5,1,10,73,40,33,0.025
credit_rating,credit_rating,mlp,5,2,10,3,1,2,1.0
credit_rating,credit_rating,mlp,5,3,10,215,118,97,0.0
credit_rating,credit_rating,mlp,5,4,10,367,176,191,0.028409090909090908
credit_rating,credit_rating,mlp,5,5,10,501,241,260,0.008298755186721992
credit_rating,credit_rating,mlp,5,6,10,1,0,1,
credit_rating,credit_rating,mlp,5,7,10,4,1,3,0.0
credit_rating,credit_rating,mlp,5,8,10,43,25,18,0.4
credit_rating,credit_rating,mlp,5,9,10,1,0,1,
credit_rating,credit_rating,real-tabpfn,1,0,10,293,136,157,0.21323529411764705
credit_rating,credit_rating,real-tabpfn,1,1,10,68,27,41,0.1111111111111111
credit_rating,credit_rating,real-tabpfn,1,2,10,6,4,2,0.5
credit_rating,credit_rating,real-tabpfn,1,3,10,217,118,99,0.6271186440677966
credit_rating,credit_rating,real-tabpfn,1,4,10,367,195,172,0.06666666666666667
credit_rating,credit_rating,real-tabpfn,1,5,10,510,246,264,0.17886178861788618
credit_rating,credit_rating,real-tabpfn,1,6,10,2,1,1,1.0
credit_rating,credit_rating,real-tabpfn,1,7,10,5,4,1,1.0
credit_rating,credit_rating,real-tabpfn,1,8,10,52,29,23,0.8620689655172413
credit_rating,credit_rating,real-tabpfn,1,9,10,1,0,1,
credit_rating,credit_rating,real-tabpfn,2,0,9,285,139,146,0.0
credit_rating,credit_rating,real-tabpfn,2,1,9,69,42,27,0.5714285714285714
credit_rating,credit_rating,real-tabpfn,2,2,9,6,4,2,1.0
credit_rating,credit_rating,real-tabpfn,2,3,9,220,99,121,0.7575757575757576
credit_rating,credit_rating,real-tabpfn,2,4,9,365,190,175,0.15263157894736842
credit_rating,credit_rating,real-tabpfn,2,5,9,521,267,254,0.11235955056179775
credit_rating,credit_rating,real-tabpfn,2,6,9,1,0,1,
credit_rating,credit_rating,real-tabpfn,2,7,9,3,1,2,1.0
credit_rating,credit_rating,real-tabpfn,2,8,9,51,18,33,0.8888888888888888
credit_rating,credit_rating,real-tabpfn,3,0,10,308,147,161,0.14965986394557823
credit_rating,credit_rating,real-tabpfn,3,1,10,65,28,37,0.39285714285714285
credit_rating,credit_rating,real-tabpfn,3,2,10,6,3,3,0.6666666666666666
credit_rating,credit_rating,real-tabpfn,3,3,10,222,112,110,0.2857142857142857
credit_rating,credit_rating,real-tabpfn,3,4,10,365,183,182,0.0
credit_rating,credit_rating,real-tabpfn,3,5,10,494,254,240,0.3228346456692913
credit_rating,credit_rating,real-tabpfn,3,6,10,2,1,1,1.0
credit_rating,credit_rating,real-tabpfn,3,7,10,5,1,4,1.0
credit_rating,credit_rating,real-tabpfn,3,8,10,53,30,23,0.9333333333333333
credit_rating,credit_rating,real-tabpfn,3,9,10,1,1,0,
credit_rating,credit_rating,real-tabpfn,4,0,9,296,168,128,0.19642857142857142
credit_rating,credit_rating,real-tabpfn,4,1,9,66,34,32,0.0
credit_rating,credit_rating,real-tabpfn,4,2,9,2,0,2,
credit_rating,credit_rating,real-tabpfn,4,3,9,229,115,114,0.5652173913043478
credit_rating,credit_rating,real-tabpfn,4,4,9,364,161,203,0.18633540372670807
credit_rating,credit_rating,real-tabpfn,4,5,9,506,254,252,0.39763779527559057
credit_rating,credit_rating,real-tabpfn,4,6,9,1,1,0,
credit_rating,credit_rating,real-tabpfn,4,7,9,5,2,3,1.0
credit_rating,credit_rating,real-tabpfn,4,8,9,52,25,27,0.84
credit_rating,credit_rating,real-tabpfn,5,0,10,313,158,155,0.04430379746835443
credit_rating,credit_rating,real-tabpfn,5,1,10,73,40,33,0.125
credit_rating,credit_rating,real-tabpfn,5,2,10,3,1,2,1.0
credit_rating,credit_rating,real-tabpfn,5,3,10,215,118,97,0.0
credit_rating,credit_rating,real-tabpfn,5,4,10,367,176,191,0.6193181818181818
credit_rating,credit_rating,real-tabpfn,5,5,10,501,241,260,0.22406639004149378
credit_rating,credit_rating,real-tabpfn,5,6,10,1,0,1,
credit_rating,credit_rating,real-tabpfn,5,7,10,4,1,3,1.0
credit_rating,credit_rating,real-tabpfn,5,8,10,43,25,18,0.6
credit_rating,credit_rating,real-tabpfn,5,9,10,1,0,1,
credit_rating,credit_rating,rf,1,0,10,293,136,157,0.5073529411764706
credit_rating,credit_rating,rf,1,1,10,68,27,41,0.0
credit_rating,credit_rating,rf,1,2,10,6,4,2,1.0
credit_rating,credit_rating,rf,1,3,10,217,118,99,0.7457627118644068
credit_rating,credit_rating,rf,1,4,10,367,195,172,0.7128205128205128
credit_rating,credit_rating,rf,1,5,10,510,246,264,0.6341463414634146
credit_rating,credit_rating,rf,1,6,10,2,1,1,1.0
credit_rating,credit_rating,rf,1,7,10,5,4,1,1.0
credit_rating,credit_rating,rf,1,8,10,52,29,23,1.0
credit_rating,credit_rating,rf,1,9,10,1,0,1,
credit_rating,credit_rating,rf,2,0,9,285,139,146,0.38848920863309355
credit_rating,credit_rating,rf,2,1,9,69,42,27,0.9285714285714286
credit_rating,credit_rating,rf,2,2,9,6,4,2,1.0
credit_rating,credit_rating,rf,2,3,9,220,99,121,0.8282828282828283
credit_rating,credit_rating,rf,2,4,9,365,190,175,0.4842105263157895
credit_rating,credit_rating,rf,2,5,9,521,267,254,0.6067415730337079
credit_rating,credit_rating,rf,2,6,9,1,0,1,
credit_rating,credit_rating,rf,2,7,9,3,1,2,1.0
credit_rating,credit_rating,rf,2,8,9,51,18,33,0.9444444444444444
credit_rating,credit_rating,rf,3,0,10,308,147,161,0.5102040816326531
credit_rating,credit_rating,rf,3,1,10,65,28,37,0.9285714285714286
credit_rating,credit_rating,rf,3,2,10,6,3,3,1.0
credit_rating,credit_rating,rf,3,3,10,222,112,110,0.8660714285714286
credit_rating,credit_rating,rf,3,4,10,365,183,182,0.19672131147540983
credit_rating,credit_rating,rf,3,5,10,494,254,240,0.3661417322834646
credit_rating,credit_rating,rf,3,6,10,2,1,1,1.0
credit_rating,credit_rating,rf,3,7,10,5,1,4,1.0
credit_rating,credit_rating,rf,3,8,10,53,30,23,1.0
credit_rating,credit_rating,rf,3,9,10,1,1,0,
credit_rating,credit_rating,rf,4,0,9,296,168,128,0.0
credit_rating,credit_rating,rf,4,1,9,66,34,32,0.7352941176470589
credit_rating,credit_rating,rf,4,2,9,2,0,2,
credit_rating,credit_rating,rf,4,3,9,229,115,114,0.6173913043478261
credit_rating,credit_rating,rf,4,4,9,364,161,203,0.8757763975155279
credit_rating,credit_rating,rf,4,5,9,506,254,252,0.9212598425196851
credit_rating,credit_rating,rf,4,6,9,1,1,0,
credit_rating,credit_rating,rf,4,7,9,5,2,3,1.0
credit_rating,credit_rating,rf,4,8,9,52,25,27,0.96
credit_rating,credit_rating,rf,5,0,10,313,158,155,0.0
credit_rating,credit_rating,rf,5,1,10,73,40,33,0.0
credit_rating,credit_rating,rf,5,2,10,3,1,2,1.0
credit_rating,credit_rating,rf,5,3,10,215,118,97,0.0
credit_rating,credit_rating,rf,5,4,10,367,176,191,0.7556818181818182
credit_rating,credit_rating,rf,5,5,10,501,241,260,0.3900414937759336
credit_rating,credit_rating,rf,5,6,10,1,0,1,
credit_rating,credit_rating,rf,5,7,10,4,1,3,1.0
credit_rating,credit_rating,rf,5,8,10,43,25,18,0.8
credit_rating,credit_rating,rf,5,9,10,1,0,1,
credit_rating,credit_rating,tabdpt,1,0,10,293,136,157,0.22058823529411764
credit_rating,credit_rating,tabdpt,1,1,10,68,27,41,0.4444444444444444
credit_rating,credit_rating,tabdpt,1,2,10,6,4,2,0.5
credit_rating,credit_rating,tabdpt,1,3,10,217,118,99,0.8220338983050848
credit_rating,credit_rating,tabdpt,1,4,10,367,195,172,0.3282051282051282
