dataset,model,class_label,num_classes,tpr_at_1pct_fpr,tpr_mean,tpr_std,class_size,n_members,n_nonmembers,n_runs,n_seeds,model_display
locations,lightgbm,7,10,0.12389380530973451,0.14880469261963888,0.05649215441431196,227.0,113.0,114.0,5,5,LightGBM
locations,lightgbm,8,10,0.12280701754385964,0.09901861934529811,0.09778012911747053,113.0,57.0,56.0,5,5,LightGBM
locations,lightgbm,9,10,0.1527777777777778,0.1732838267981506,0.13559260965318198,148.0,74.0,74.0,5,5,LightGBM
locations,mlp,0,10,0.10606060606060606,0.08759108946608947,0.07652988692815553,127.0,63.0,64.0,5,5,MLP
locations,mlp,1,10,0.015873015873015872,0.02734413462354639,0.01989626743869922,132.0,66.0,66.0,5,5,MLP
locations,mlp,2,10,0.08771929824561403,0.09329926190596415,0.06749739837966073,112.0,56.0,56.0,5,5,MLP
locations,mlp,3,10,0.09523809523809523,0.08188380346247251,0.04351767329456151,124.0,62.0,62.0,5,5,MLP
locations,mlp,4,10,0.2702702702702703,0.2391690138031602,0.10251305157345694,74.0,37.0,37.0,5,5,MLP
locations,mlp,5,10,0.20588235294117646,0.2035093888115645,0.135110146586025,137.0,68.0,69.0,5,5,MLP
locations,mlp,6,10,0.16666666666666666,0.17337201805286911,0.1299164630836288,87.0,44.0,43.0,5,5,MLP
locations,mlp,7,10,0.10810810810810811,0.09937617137880536,0.024087224184182,227.0,113.0,114.0,5,5,MLP
locations,mlp,8,10,0.03508771929824561,0.05580426161188412,0.0863691136968769,113.0,57.0,56.0,5,5,MLP
locations,mlp,9,10,0.16216216216216217,0.11614192290910094,0.09808296095240783,148.0,74.0,74.0,5,5,MLP
locations,rf,0,10,0.3333333333333333,0.4507936507936508,0.48543928307880013,127.0,63.0,64.0,5,5,RF
locations,rf,1,10,0.07352941176470588,0.17856320558526442,0.22335919388166234,132.0,66.0,66.0,5,5,RF
locations,rf,2,10,0.32142857142857145,0.4503783202810352,0.3597349643120723,112.0,56.0,56.0,5,5,RF
locations,rf,3,10,0.45614035087719296,0.5014863529350434,0.29100261441692676,124.0,62.0,62.0,5,5,RF
locations,rf,4,10,0.8918918918918919,0.6918918918918919,0.42545039083551106,74.0,37.0,37.0,5,5,RF
locations,rf,5,10,0.9848484848484849,0.922191292457207,0.13480259321753338,137.0,68.0,69.0,5,5,RF
locations,rf,6,10,0.7045454545454546,0.6045373952288846,0.39654886719798915,87.0,44.0,43.0,5,5,RF
locations,rf,7,10,0.6228070175438597,0.758983680530988,0.21242546279399263,227.0,113.0,114.0,5,5,RF
locations,rf,8,10,1.0,0.9298245614035088,0.13814048901775106,113.0,57.0,56.0,5,5,RF
locations,rf,9,10,0.8552631578947368,0.801759365710339,0.21346132202763676,148.0,74.0,74.0,5,5,RF
locations,tabnet,0,10,0.031746031746031744,0.053769841269841266,0.07236081460674539,127.0,63.0,64.0,5,5,TabNet
locations,tabnet,1,10,0.0,0.021356421356421358,0.03948395806228562,132.0,66.0,66.0,5,5,TabNet
locations,tabnet,2,10,0.0,0.0272375854891466,0.05165939294630238,112.0,56.0,56.0,5,5,TabNet
locations,tabnet,3,10,0.031746031746031744,0.03654765328622102,0.04115233112356857,124.0,62.0,62.0,5,5,TabNet
locations,tabnet,4,10,0.02702702702702703,0.08921915263378677,0.11908627482843881,74.0,37.0,37.0,5,5,TabNet
locations,tabnet,5,10,0.030303030303030304,0.03994457060532806,0.043422273517336026,137.0,68.0,69.0,5,5,TabNet
locations,tabnet,6,10,0.020833333333333332,0.026603803997421016,0.03745788361116967,87.0,44.0,43.0,5,5,TabNet
locations,tabnet,7,10,0.036036036036036036,0.03865124299089896,0.02933388999876005,227.0,113.0,114.0,5,5,TabNet
locations,tabnet,8,10,0.05172413793103448,0.03627075351213282,0.034172126236294675,113.0,57.0,56.0,5,5,TabNet
locations,tabnet,9,10,0.05263157894736842,0.053385630800687436,0.0382669234797772,148.0,74.0,74.0,5,5,TabNet
