dataset,model,auc,attack_family,target_train_acc,target_test_acc,target_model_accuracy_pct,train_test_gap_pct_points,num_seeds,amia_metric
us_stocks_financial,tabpfn,0.6595770345081065,RMIA,1.0,0.9987856709168185,99.87856709168184,0.12143290831815312,5.0,
46980_MIC,real-tabpfn,0.824258909503558,AMIA,0.9461912479740681,0.9222042139384117,92.22042139384116,2.3987034035656385,5.0,row_max_auc
46980_MIC,tabdpt,0.9908198030413278,AMIA,1.0,0.9176661264181524,91.76661264181524,8.233387358184762,5.0,row_max_auc
46980_MIC,tabicl,0.9754797222930004,AMIA,0.9818476499189627,0.9205834683954619,92.05834683954619,6.126418152350077,5.0,row_max_auc
46980_MIC,tabpfn,0.7965452114455631,AMIA,0.9487844408427877,0.9218800648298217,92.18800648298216,2.6904376012966025,5.0,row_max_auc
credit_rating,real-tabpfn,0.90180994536275,AMIA,0.9628947368421052,0.5771353482260184,57.713534822601844,38.575938861608684,5.0,row_max_auc
credit_rating,tabdpt,0.9798201812020196,AMIA,1.0,0.557161629434954,55.7161629434954,44.2838370565046,5.0,row_max_auc
credit_rating,tabicl,0.947558614012034,AMIA,1.0,0.5784494086727989,57.844940867279895,42.155059132720105,5.0,row_max_auc
credit_rating,tabpfn,0.9016380800885262,AMIA,0.9628947368421052,0.5758212877792379,57.58212877792379,38.707344906286735,5.0,row_max_auc
dropout_success,real-tabpfn,0.8699349012691655,AMIA,0.860759493670886,0.7808318264014467,78.08318264014467,7.992766726943934,5.0,row_max_auc
dropout_success,tabdpt,0.9990199401877932,AMIA,0.9960216998191681,0.7733574442435203,77.33574442435203,22.266425557564784,5.0,row_max_auc
dropout_success,tabicl,0.992799063758388,AMIA,0.9430982519590115,0.7802290536467751,78.02290536467751,16.286919831223646,5.0,row_max_auc
dropout_success,tabpfn,0.8789872836385528,AMIA,0.8618444846292947,0.7822784810126582,78.22784810126582,7.956600361663657,5.0,row_max_auc
locations,real-tabpfn,0.9366133523845626,AMIA,0.9934477379095163,0.8155763239875389,81.55763239875388,17.787141392197746,5.0,row_max_auc
locations,tabdpt,0.9999995139992516,AMIA,1.0,0.8006230529595015,80.06230529595015,19.937694704049846,5.0,row_max_auc
locations,tabicl,0.9980715490301856,AMIA,0.9990639625585024,0.8707165109034267,87.07165109034267,12.834745165507567,5.0,row_max_auc
locations,tabpfn,0.9340803164836874,AMIA,0.9956318252730109,0.8289719626168225,82.89719626168225,16.665986265618837,5.0,row_max_auc
url,real-tabpfn,0.8327177721516342,AMIA,0.9992067195520299,0.9726084927671488,97.26084927671488,2.6598226784881107,5.0,row_max_auc
url,tabdpt,0.9096979901137716,AMIA,1.0,0.9674755016332245,96.74755016332244,3.252449836677551,5.0,row_max_auc
url,tabicl,0.928038476856248,AMIA,1.0,0.9712552496500233,97.12552496500233,2.87447503499767,5.0,row_max_auc
url,tabpfn,0.824634764588567,AMIA,0.9990200653289781,0.9724685020998599,97.246850209986,2.6551563229118225,5.0,row_max_auc
us_stocks_financial,real-tabpfn,0.886752016232343,AMIA,1.0,0.9986642380085003,99.86642380085003,0.1335761991499651,5.0,row_max_auc
us_stocks_financial,tabdpt,0.9307902097206048,AMIA,1.0,0.9357619914996965,93.57619914996965,6.423800850030348,5.0,row_max_auc
us_stocks_financial,tabicl,0.6753652664280034,AMIA,1.0,0.9993928354584092,99.93928354584092,0.06071645415908211,5.0,row_max_auc
us_stocks_financial,tabpfn,0.7644010987208256,AMIA,1.0,0.9987856709168185,99.87856709168184,0.12143290831815312,5.0,row_max_auc
