dataset_name,total_rows,train_rows,test_rows,num_features,num_numerical_features,num_categorical_features,num_binary_features,missing_cells,missing_pct,duplicate_rows,task_type,num_classes,majority_class_pct,minority_class_pct,imbalance_ratio,target_entropy,mean_feature_entropy,max_feature_entropy,num_features_with_outliers,total_outlier_cells,outlier_pct,mean_abs_corr_with_target,max_abs_corr_with_target,top_correlated_feature,near_zero_variance_features,mean_numerical_variance,samples_per_feature,mean_pairwise_feature_corr,mean_abs_skewness,mean_kurtosis,pca_n_components_95pct,pca_explained_var_top5,knn_label_disagreement
student_performance,649,486,163,30,13,17,13,0,0.0,0,classification,3,54.6995,15.4083,3.55,1.412624,1.345685,2.255168,7,203,2.4061,0.125918,0.367216,failures,0,2.697015,16.2,0.101944,0.945924,1.307526,27,0.337167,0.446841
dropout_success,4424,3318,1106,36,36,0,8,0,0.0,0,classification,3,49.9322,17.9476,2.7821,1.471338,1.336445,3.085899,15,4935,3.0986,0.15065,0.624157,Curricular units 2nd sem (approved),0,118338.838089,92.1667,0.105752,2.648199,16.385723,26,0.442606,0.3095
credit_data,1000,750,250,20,8,12,4,0,0.0,0,classification,4,39.4,6.3,6.254,1.802043,1.528228,2.854652,4,171,2.1375,0.082192,0.350847,20,0,995019.16381,37.5,0.097754,1.115584,0.653957,18,0.424632,0.534
cirrhosis,418,313,105,17,11,6,5,1033,13.7294,0,classification,3,55.5024,5.9809,9.28,1.244618,1.648199,3.121992,9,168,3.6538,0.244712,0.429722,Bilirubin,0,532907.102532,18.4118,0.20054,1.789317,6.014053,14,0.67109,0.282297
surgery,14635,10976,3659,24,24,0,10,0,0.0,2902,classification,2,74.7865,25.2135,2.9661,0.814645,1.443467,3.084167,8,2932,0.8348,0.13735,0.390923,ccsComplicationRate,0,19.631002,457.3333,0.135168,2.298816,20.075643,19,0.478822,0.237
url,11430,8572,2858,88,87,1,37,0,0.0,0,classification,2,50.0,50.0,1.0,1.0,0.786869,13.480363,25,22921,2.305,0.150118,0.731171,google_index,6,45771325681.951935,97.4091,0.071184,9.401177,303.252678,60,0.284059,0.076
wids,50000,37500,12500,178,172,6,14,3074065,34.3471,0,classification,2,97.832,2.168,45.1255,0.150772,2.135912,3.320745,139,193483,2.2498,0.02243,0.295018,immunosuppression,1,9914574.899398,210.6742,0.106445,2.149079,27.316556,74,0.396706,0.02
us_stocks_financial,4392,3294,1098,230,230,0,12,93949,9.2601,0,classification,2,69.3534,30.6466,2.263,0.889052,0.196177,2.584963,213,121001,11.9784,0.043984,0.486459,cashconversioncycle,1,3.02085552303053e+21,14.3217,0.061546,27.94276,1406.290914,113,0.273132,0.2385
strikes,625,468,157,6,6,0,0,0,0.0,0,classification,3,33.44,33.28,1.0048,1.584959,2.892905,3.307678,3,35,0.9333,0.195836,0.447118,union_centralization,0,55.190562,78.0,0.115818,0.446315,-0.140218,6,0.918105,0.2736
annthyroid,7200,5400,1800,6,6,0,0,0,0.0,138,classification,2,92.5833,7.4167,12.4831,0.381284,1.406443,2.960785,5,2915,6.7477,0.206444,0.424979,V2,0,0.006561,900.0,0.250159,3.895792,57.607205,5,0.995996,0.0515
credit_rating,2029,1521,508,30,25,5,0,0,0.0,0,classification,10,33.0705,0.0493,671.0,2.312954,1.254609,9.032163,25,4406,8.6861,0.037149,0.245754,rating_agency_name,0,4517728702.925153,50.7,0.092553,23.398782,809.580081,16,0.547668,0.57
46904_airfoil_self_noise,1503,1127,376,5,4,1,0,0,0.0,0,regression,1456,0.1996,0.0665,3.0,10.489581,2.478659,4.351238,2,210,3.493,0.221952,0.390711,frequency,0,2483086.789115,225.4,0.099339,1.13314,1.331418,5,1.0,0.999335
46905_Amazon_employee_access,32769,24576,8193,9,0,9,0,0,0.0,0,classification,2,94.211,5.789,16.2741,0.319012,6.905765,11.257595,0,0,0.0,0.020813,0.055723,ROLE_FAMILY,0,0.0,2730.6667,0.0,0.0,0.0,8,0.729717,0.0635
46906_anneal,898,673,225,38,6,32,21,0,0.0,12,classification,5,76.1693,0.8909,85.5,1.189834,0.624684,2.55691,2,287,5.3267,0.143093,0.45464,family,0,612726.279842,17.7105,0.083489,2.026983,4.648024,24,0.399604,0.044543
46907_Another-Dataset-on-used-Fiat-500,1538,1153,385,7,6,1,0,0,0.0,18,regression,222,4.8114,0.065,74.0,6.714261,1.802921,2.871046,2,27,0.2926,0.353053,0.893328,age_in_days,0,267394619.01411,164.7143,0.171257,1.904458,6.332777,6,0.943438,0.818596
46908_APSFailure,76000,57000,19000,170,170,0,2,1078695,8.3002,0,classification,2,98.1908,1.8092,54.2727,0.13059,0.211146,2.991473,118,891092,6.897,0.251115,0.570502,ci_000,1,3816517386829213.0,335.2941,0.218832,43.592134,5718.166426,83,0.432958,0.0145
46910_bank-marketing,45211,33908,11303,13,5,8,3,0,0.0,274,classification,2,88.3015,11.6985,7.5481,0.520631,1.098846,3.055353,3,8280,3.6628,0.073562,0.148395,contact,0,1856109.421101,2608.3077,0.073858,11.681189,938.823325,12,0.568922,0.1305
46911_Bank_Customer_Churn,10000,7500,2500,10,6,4,3,0,0.0,0,classification,2,79.63,20.37,3.9092,0.729267,1.999508,3.321685,3,434,0.7233,0.081059,0.285323,age,0,1200030388.406737,750.0,0.031036,0.330447,-0.380592,10,0.547137,0.167
46912_Bioresponse,3751,2813,938,1776,1776,0,835,0,0.0,0,classification,2,54.2255,45.7745,1.1846,0.994842,0.449259,2.785857,167,33371,0.5009,0.042697,0.47234,D27,0,0.045308,1.5839,0.091196,8.324989,162.450882,516,0.259186,0.256
46913_blood-transfusion-service-center,748,561,187,4,4,0,0,0,0.0,215,classification,2,76.2032,23.7968,3.2022,0.791645,1.964511,3.060933,3,97,3.242,0.188247,0.279869,MonthsSinceLastDonation,0,532234.525732,140.25,0.465998,2.263111,10.224505,3,1.0,0.221925
46915_churn,5000,3750,1250,19,15,4,2,0,0.0,0,classification,2,85.86,14.14,6.0721,0.587894,2.3445,5.652405,15,1081,1.4413,0.084404,0.259123,international_plan,0,738.552865,197.3684,0.046278,0.298298,0.454893,14,0.524642,0.105
46916_coil2000_insurance_policies,9822,7366,2456,85,80,5,5,0,0.0,1442,classification,2,94.0338,5.9662,15.7611,0.326102,1.382686,4.727349,31,6790,0.8641,0.040297,0.137053,contributionCarPolicies,0,1.656525,86.6588,0.066915,6.967351,150.512389,47,0.281417,0.057
46917_concrete_compressive_strength,1030,772,258,8,8,0,0,0,0.0,25,regression,938,0.4854,0.0971,5.0,9.809246,2.515959,3.142219,5,85,1.0316,0.256897,0.497833,Cement,0,4922.38015,96.5,0.207501,0.799062,1.330797,6,0.875262,0.969903
46918_credit-g,1000,750,250,20,7,13,3,0,0.0,0,classification,2,70.0,30.0,2.3333,0.881291,1.574265,2.854652,4,171,2.4429,0.0781,0.302406,checking_status,0,1137164.72864,37.5,0.102486,1.15007,0.924278,18,0.416931,0.279
46919_credit_card_clients_default,30000,22500,7500,23,20,3,1,0,0.0,35,classification,2,77.88,22.12,3.5208,0.762353,1.184715,2.576794,20,54001,9.0002,0.091915,0.324794,PAY_0,0,2271102465.153897,978.2609,0.251863,6.052902,166.970241,15,0.63869,0.216
46920_customer_satisfaction_in_airline,129880,97410,32470,21,5,16,2,393,0.0138,0,classification,2,54.7328,45.2672,1.2091,0.993527,1.923614,2.953789,3,38171,5.8779,0.225555,0.523496,Inflightentertainment,0,211623.523783,4638.5714,0.154727,2.865791,38.893755,17,0.588634,0.122
46921_diabetes,768,576,192,8,8,0,0,0,0.0,0,classification,2,65.1042,34.8958,1.8657,0.933134,2.284267,2.623297,8,146,2.3763,0.207968,0.466581,Glucose,0,1890.594551,72.0,0.171657,1.097394,2.775362,8,0.811637,0.257812
46922_Diabetes130US,71518,53638,17880,47,8,39,12,137663,4.0102,0,classification,2,91.2008,8.7992,10.3647,0.429731,1.249099,6.865964,5,7695,1.3449,0.013384,0.099237,number_inpatient,0,60.588078,1141.234,0.117211,5.143755,180.297734,40,0.203516,0.108
46923_diamonds,53940,40455,13485,9,6,3,0,0,0.0,146,regression,11602,0.2447,0.0019,132.0,12.503039,1.669743,2.707984,6,5149,1.591,0.439376,0.921591,carat,0,1.721779,4495.0,0.464193,1.055184,24.580154,6,0.914791,0.989
46924_E-CommereShippingData,10999,8249,2750,10,6,4,1,0,0.0,0,classification,2,59.6691,40.3309,1.4795,0.972854,2.073277,3.114555,2,3212,4.8671,0.090917,0.397108,Discount_offered,0,446132.280474,824.9,0.131509,0.713996,0.330408,9,0.599829,0.372
46927_Fitness_Club,1500,1125,375,6,3,3,1,20,0.1905,1,classification,2,69.7333,30.2667,2.304,0.884526,1.908158,2.76183,3,130,2.8889,0.14431,0.485526,months_as_member,0,115.486549,187.5,0.157277,1.415692,6.18066,6,0.899064,0.248
46928_Food_Delivery_Time,45451,34088,11363,9,6,3,0,0,0.0,12,classification,45,4.6534,0.1584,29.375,5.165548,2.632413,10.066367,5,16935,6.21,0.084569,0.331264,Delivery_person_Ratings,0,186.992952,3787.5556,0.299331,1.800622,6.137342,7,0.819657,0.9555
46929_GiveMeSomeCredit,150000,112500,37500,10,10,0,0,33655,2.0397,609,classification,2,93.316,6.684,13.9611,0.354019,0.5261,2.471459,7,55108,3.6739,0.057231,0.125587,NumberOfTime30-59DaysPastDueNotWorse,0,21113248.522529,11250.0,0.115205,38.232092,4945.558077,8,0.784292,0.069
46930_hazelnut-spread-contaminant-detection,2400,1800,600,30,30,0,0,0,0.0,0,classification,2,50.0,50.0,1.0,1.0,2.536603,3.068528,26,4574,6.3528,0.244978,0.529438,s52,24,1e-06,60.0,0.370609,0.760409,0.503437,14,0.789687,0.1345
46931_healthcare_insurance_expenses,1338,1003,335,6,3,3,2,0,0.0,1,regression,1337,0.1495,0.0747,2.0,10.384368,1.963653,3.284534,1,9,0.2242,0.236016,0.787251,smoker,0,78.622023,167.1667,0.054833,0.426033,-0.364455,6,0.866764,0.998505
46932_heloc,10459,7844,2615,23,23,0,0,0,0.0,587,classification,2,52.1943,47.8057,1.0918,0.99861,1.66967,3.001137,22,15563,6.4696,0.108062,0.298174,NetFractionRevolvingBurden,0,853.84101,341.0435,0.399751,1.443254,9.538429,13,0.74865,0.3235
46933_hiva_agnostic,3845,2883,962,1617,0,1617,1617,0,0.0,20,classification,3,96.4889,1.0923,88.3333,0.250811,0.33845,0.999998,0,0,0.0,0.012118,0.052018,molecule_structure_property_1219,0,0.0,1.7829,0.0,0.0,0.0,504,0.152723,0.037
46934_houses,20640,15480,5160,8,8,0,0,0,0.0,0,regression,3842,4.6754,0.0048,965.0,11.106103,1.713833,3.216022,5,5666,3.4314,0.162189,0.658431,MedianIncome,0,795675.445884,1935.0,0.313708,2.302182,18.983689,4,0.98208,0.9775
46935_HR_Analytics_Job_Change_of_Data_Scientists,19158,14368,4790,12,2,10,1,65,0.0261,49,classification,2,75.0652,24.9348,3.0105,0.810242,2.217042,4.77183,2,1001,2.6125,0.096791,0.341665,city_development_index,0,1803.422894,1197.3333,0.00192,1.407332,1.651004,11,0.5548,0.2715
46937_in_vehicle_coupon_recommendation,12684,9513,3171,24,2,22,7,0,0.0,74,classification,2,56.8433,43.1567,1.3171,0.986445,1.668777,4.043314,0,0,0.0,0.051119,0.148031,CoffeeHouse,0,198.060978,396.375,0.044991,0.372301,-1.215157,21,0.397045,0.403
46938_Is-this-a-good-customer,1723,1292,431,13,5,8,3,0,0.0,0,classification,2,88.6245,11.3755,7.7908,0.51114,1.658059,3.219929,4,422,4.8984,0.070657,0.153695,product_type,0,243312068.168954,99.3846,0.130178,2.287533,17.412737,12,0.524322,0.127104
46939_kddcup09_appetency,50000,37500,12500,212,174,38,13,6727959,63.1733,0,classification,2,98.22,1.78,55.1798,0.128903,1.161493,12.464066,125,103479,1.1894,0.02,0.119576,Var126,1,4261110079259.0776,176.8868,0.141434,11.535266,432.01973,129,0.268395,0.0125
46940_Marketing_Campaign,2240,1680,560,25,16,9,6,24,0.0412,182,classification,2,85.0893,14.9107,5.7066,0.607601,1.803134,9.150988,12,1247,3.4794,0.139983,0.326634,AcceptedCmp5,0,39598250.555349,67.2,0.290345,1.628335,12.654036,21,0.518931,0.1235
46941_maternal_health_risk,1014,760,254,6,6,0,0,0,0.0,562,classification,3,40.0394,26.8245,1.4926,1.565985,2.240039,2.988382,4,223,3.6654,0.217259,0.479958,BS,0,131.742206,126.6667,0.281135,0.957568,1.700049,5,0.964701,0.298817
46942_miami_housing,13776,10332,3444,15,14,1,1,0,0.0,0,regression,2106,1.4082,0.0073,194.0,9.141579,2.391232,3.280892,9,4154,2.1538,0.244641,0.666572,TOT_LVG_AREA,0,162406626.723442,688.8,0.211397,0.915883,1.546304,11,0.690338,0.9865
46969_NATICUSdroid,7491,5618,1873,86,0,86,86,0,0.0,0,classification,2,64.9713,35.0287,1.8548,0.934324,0.381099,0.999916,0,0,0.0,0.129354,0.57093,android.permission.READ_PHONE_STATE,0,0.0,65.3256,0.0,0.0,0.0,62,0.322127,0.1175
46949_physiochemical_protein,45730,34297,11433,9,9,0,0,0,0.0,1711,regression,15903,0.5948,0.0022,272.0,13.509517,2.032913,2.6062,9,9496,2.3073,0.092521,0.374309,FracExposedNonPolarResidue,0,35350336309.00072,3810.7778,0.616319,3.204851,90.528443,4,0.984317,0.9955
46950_polish_companies_bankruptcy,5910,4432,1478,64,64,0,0,4666,1.2146,60,classification,2,93.0626,6.9374,13.4146,0.363583,0.059033,1.897379,64,37458,9.9032,0.034445,0.157716,log_total_assets,0,550247326.824347,69.25,0.104937,53.711237,3613.166941,24,0.576957,0.0695
46952_qsar-biodeg,1054,790,264,41,36,5,3,0,0.0,3,classification,2,66.3188,33.6812,1.969,0.921735,1.309074,2.655924,28,1751,4.6147,0.186371,0.394873,Laplace_Leading_Eigenvalue,0,8.964822,19.2683,0.173065,3.940508,46.982007,23,0.556429,0.144213
46953_QSAR-TID-11,5742,4306,1436,1024,1024,0,1024,0,0.0,116,regression,1387,6.0606,0.0174,348.0,8.886627,0.259311,0.99795,0,0,0.0,0.055375,0.342251,FCFP6_1024_652,0,0.046375,4.2051,0.032695,5.791173,41.132042,650,0.073978,0.8635
46954_QSAR_fish_toxicity,907,680,227,6,6,0,0,0,0.0,1,regression,827,0.441,0.1103,4.0,9.640814,2.137602,2.771382,5,50,0.9188,0.349529,0.651652,MLOGP,0,0.678631,113.3333,0.179005,1.190906,3.399565,5,0.965945,0.972437
46955_SDSS17,78053,58539,19514,11,9,2,0,0,0.0,0,classification,3,61.0009,17.9288,3.4024,1.352958,3.239154,12.264113,6,7738,1.1015,0.031071,0.094456,plate,0,1487.977519,5321.7273,0.154497,93.101336,25851.406447,8,0.785649,0.1965
46958_splice,3190,2392,798,60,0,60,0,0,0.0,184,classification,3,51.8809,24.0439,2.1578,1.48017,1.978014,2.008563,0,0,0.0,0.043351,0.522231,position_2,0,0.0,39.8667,0.0,0.0,0.0,56,0.128223,0.362
46960_students_dropout_and_academic_success,4424,3318,1106,36,19,17,8,0,0.0,0,classification,3,49.9322,17.9476,2.7821,1.471338,1.656797,3.843825,12,4134,4.9181,0.158524,0.624157,Curricular_units_2nd_sem_approved,0,30.557395,92.1667,0.200973,1.978505,12.326398,27,0.426724,0.3165
46961_superconductivity,21263,15947,5316,81,81,0,0,0,0.0,66,regression,3007,0.6725,0.0047,143.0,10.249098,2.31655,3.144478,63,68800,3.9947,0.384782,0.721271,wtd_std_ThermalConductivity,0,941040.485972,196.8765,0.344654,1.047788,2.406168,17,0.727251,0.979
46962_taiwanese_bankruptcy_prediction,6819,5114,1705,94,94,0,1,0,0.0,0,classification,2,96.7737,3.2263,29.9955,0.205616,0.64593,3.125692,88,53254,8.3081,0.081497,0.315457,Net_Income_to_Total_Assets,0,7.634397541247187e+17,54.4043,0.080537,22.000761,1340.204324,53,0.345566,0.034
46963_website_phishing,1353,1014,339,9,0,9,2,0,0.0,629,classification,3,51.8847,7.6127,6.8155,1.302115,1.307308,1.584111,0,0,0.0,0.172934,0.495673,SFH,0,0.0,112.6667,0.0,0.0,0.0,9,0.709291,0.130081
46964_wine_quality,6497,4872,1625,12,11,1,1,0,0.0,1177,classification,7,43.6509,0.077,567.2,1.837604,1.715353,2.685373,11,1989,2.7831,0.14083,0.444319,alcohol,0,321.36859,406.0,0.244789,1.363638,8.015582,9,0.799525,0.486
46980_MIC,1699,1274,425,111,17,94,1,6513,3.4227,0,classification,8,84.0494,0.7063,119.0,1.018449,0.80367,3.168973,12,814,2.8183,0.096066,0.42667,R_AB_3_n,0,190.578732,11.4775,0.127056,1.935388,7.999049,58,0.441515,0.127722
46979_jm1,10885,8163,2722,21,21,0,0,25,0.0104,1973,classification,2,80.6523,19.3477,4.1686,0.708689,0.192318,1.492755,20,20087,8.7875,0.179225,0.245388,loc,0,9011628477.705011,388.7143,0.588706,15.836471,586.61947,8,0.872242,0.2065
