dataset,defense_key,defense_label,defense_short,family,accuracy_drop,n_models,attack_metric,auc_reduction,attack
46980_MIC,label_kanon_k10_a50+attn_drop_p10,label k-anon k10 a50 + attn drop p10,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.017828200972447417,4,amia_auc_reduction,0.271806513978602,AMIA
46980_MIC,label_kanon_k10_a50+attn_drop_p30,label k-anon k10 a50 + attn drop p30,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.023500810372771574,4,amia_auc_reduction,0.2718695575653618,AMIA
46980_MIC,label_kanon_k10_a50+attn_drop_p50,label k-anon k10 a50 + attn drop p50,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.025121555915721266,4,amia_auc_reduction,0.29323410973261643,AMIA
46980_MIC,label_kanon_k3,label k-anon k3,label k-anon k3,Label k-anon,0.010923500810372772,4,amia_auc_reduction,0.19992927297610386,AMIA
46980_MIC,label_kanon_k3+attn_drop_p10,label k-anon k3 + attn drop p10,label k-anon k3 + attn drop p10,Label k-anon + dropout,0.022690437601296687,4,amia_auc_reduction,0.2844920657019247,AMIA
46980_MIC,label_kanon_k3+attn_drop_p30,label k-anon k3 + attn drop p30,label k-anon k3 + attn drop p30,Label k-anon + dropout,0.023905996758508963,4,amia_auc_reduction,0.2895161798738603,AMIA
46980_MIC,label_kanon_k3+attn_drop_p50,label k-anon k3 + attn drop p50,label k-anon k3 + attn drop p50,Label k-anon + dropout,0.026337115072933542,4,amia_auc_reduction,0.30079375815954756,AMIA
46980_MIC,label_kanon_k3_a30,label k-anon k3 a30,label k-anon k3 a30,Label k-anon,0.007698500810372794,4,amia_auc_reduction,0.08807451751955012,AMIA
46980_MIC,label_kanon_k3_a30+attn_drop_p10,label k-anon k3 a30 + attn drop p10,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.02066450567260944,4,amia_auc_reduction,0.1982254543735175,AMIA
46980_MIC,label_kanon_k3_a30+attn_drop_p30,label k-anon k3 a30 + attn drop p30,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.020664505672609468,4,amia_auc_reduction,0.20711262999456248,AMIA
46980_MIC,label_kanon_k3_a30+attn_drop_p50,label k-anon k3 a30 + attn drop p50,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.024716369529983906,4,amia_auc_reduction,0.22580012818862646,AMIA
46980_MIC,label_kanon_k3_a50,label k-anon k3 a50,label k-anon k3 a50,Label k-anon,0.007698500810372821,4,amia_auc_reduction,0.04195025335641428,AMIA
46980_MIC,label_kanon_k3_a50+attn_drop_p10,label k-anon k3 a50 + attn drop p10,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.010940032414910816,4,amia_auc_reduction,0.16755967469509236,AMIA
46980_MIC,label_kanon_k3_a50+attn_drop_p30,label k-anon k3 a50 + attn drop p30,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.02228525121555916,4,amia_auc_reduction,0.18681981880222442,AMIA
46980_MIC,label_kanon_k3_a50+attn_drop_p50,label k-anon k3 a50 + attn drop p50,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.02350081037277152,4,amia_auc_reduction,0.19897311191024702,AMIA
46980_MIC,label_kanon_k5,label k-anon k5,label k-anon k5,Label k-anon,0.013373500810372807,4,amia_auc_reduction,0.2815477331890336,AMIA
46980_MIC,label_kanon_k5+attn_drop_p10,label k-anon k5 + attn drop p10,label k-anon k5 + attn drop p10,Label k-anon + dropout,0.02552674230145871,4,amia_auc_reduction,0.32100283958822035,AMIA
46980_MIC,label_kanon_k5+attn_drop_p30,label k-anon k5 + attn drop p30,label k-anon k5 + attn drop p30,Label k-anon + dropout,0.028768233387358233,4,amia_auc_reduction,0.33019932280680553,AMIA
46980_MIC,label_kanon_k5+attn_drop_p50,label k-anon k5 + attn drop p50,label k-anon k5 + attn drop p50,Label k-anon + dropout,0.02917341977309565,4,amia_auc_reduction,0.3363697138609206,AMIA
46980_MIC,label_kanon_k5_a30,label k-anon k5 a30,label k-anon k5 a30,Label k-anon,0.008098500810372805,4,amia_auc_reduction,0.11000285009548477,AMIA
46980_MIC,label_kanon_k5_a30+attn_drop_p10,label k-anon k5 a30 + attn drop p10,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.02025931928687194,4,amia_auc_reduction,0.2213453764096152,AMIA
46980_MIC,label_kanon_k5_a30+attn_drop_p30,label k-anon k5 a30 + attn drop p30,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.02269043760129666,4,amia_auc_reduction,0.2291227222220763,AMIA
46980_MIC,label_kanon_k5_a30+attn_drop_p50,label k-anon k5 a30 + attn drop p50,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.024716369529983878,4,amia_auc_reduction,0.24732557284292428,AMIA
46980_MIC,label_kanon_k5_a50,label k-anon k5 a50,label k-anon k5 a50,Label k-anon,0.009323500810372781,4,amia_auc_reduction,0.06319068846223566,AMIA
46980_MIC,label_kanon_k5_a50+attn_drop_p10,label k-anon k5 a50 + attn drop p10,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.018638573743922277,4,amia_auc_reduction,0.17985448752131009,AMIA
46980_MIC,label_kanon_k5_a50+attn_drop_p30,label k-anon k5 a50 + attn drop p30,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.021069692058346884,4,amia_auc_reduction,0.1964983227779106,AMIA
46980_MIC,label_kanon_k5_a50+attn_drop_p50,label k-anon k5 a50 + attn drop p50,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.023905996758508963,4,amia_auc_reduction,0.21533325102642836,AMIA
credit_rating,attn_drop_p10,attn drop p10,attn drop p10,Attention dropout,0.02792917214191859,4,amia_auc_reduction,0.08652979977868458,AMIA
credit_rating,attn_drop_p30,attn drop p30,attn drop p30,Attention dropout,0.08705417214191857,4,amia_auc_reduction,0.15223779307006016,AMIA
credit_rating,attn_drop_p50,attn drop p50,attn drop p50,Attention dropout,0.12647917214191856,4,amia_auc_reduction,0.18287960785669813,AMIA
credit_rating,attn_drop_p70,attn drop p70,attn drop p70,Attention dropout,0.15732917214191855,4,amia_auc_reduction,0.21499541807870529,AMIA
credit_rating,attn_drop_p90,attn drop p90,attn drop p90,Attention dropout,0.2161541721419186,4,amia_auc_reduction,0.26704042464900746,AMIA
credit_rating,highrisk_label_kanon_k10,high-risk label k-anon k10,high-risk label k-anon k10,High-risk label k-anon,0.08015417214191856,4,amia_auc_reduction,0.6569053011964866,AMIA
credit_rating,highrisk_label_kanon_k10_a30,high-risk label k-anon k10 a30,high-risk label k-anon k10 a30,High-risk label k-anon,0.07227917214191856,4,amia_auc_reduction,0.7422180821633584,AMIA
credit_rating,highrisk_label_kanon_k10_a50,high-risk label k-anon k10 a50,high-risk label k-anon k10 a50,High-risk label k-anon,0.048954172141918564,4,amia_auc_reduction,0.5780906355902897,AMIA
credit_rating,highrisk_label_kanon_k3,high-risk label k-anon k3,high-risk label k-anon k3,High-risk label k-anon,0.07262917214191855,4,amia_auc_reduction,0.8069299398298637,AMIA
credit_rating,highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,high-risk label k-anon k3 a30,High-risk label k-anon,0.05190417214191856,4,amia_auc_reduction,0.608888927311709,AMIA
credit_rating,highrisk_label_kanon_k3_a50,high-risk label k-anon k3 a50,high-risk label k-anon k3 a50,High-risk label k-anon,0.035804172141918555,4,amia_auc_reduction,0.5278431686147036,AMIA
credit_rating,highrisk_label_kanon_k5,high-risk label k-anon k5,high-risk label k-anon k5,High-risk label k-anon,0.07850417214191857,4,amia_auc_reduction,0.7901501659865827,AMIA
credit_rating,highrisk_label_kanon_k5_a30,high-risk label k-anon k5 a30,high-risk label k-anon k5 a30,High-risk label k-anon,0.05847917214191857,4,amia_auc_reduction,0.6917758835327477,AMIA
credit_rating,highrisk_label_kanon_k5_a50,high-risk label k-anon k5 a50,high-risk label k-anon k5 a50,High-risk label k-anon,0.043079172141918615,4,amia_auc_reduction,0.5306029116813057,AMIA
credit_rating,label_kanon_k10,label k-anon k10,label k-anon k10,Label k-anon,0.21152917214191858,4,amia_auc_reduction,0.4394827616017704,AMIA
credit_rating,label_kanon_k10+attn_drop_p10,label k-anon k10 + attn drop p10,label k-anon k10 + attn drop p10,Label k-anon + dropout,0.22306176084099877,4,amia_auc_reduction,0.43840298430043567,AMIA
credit_rating,label_kanon_k10+attn_drop_p30,label k-anon k10 + attn drop p30,label k-anon k10 + attn drop p30,Label k-anon + dropout,0.24572930354796324,4,amia_auc_reduction,0.4476282073449062,AMIA
credit_rating,label_kanon_k10+attn_drop_p50,label k-anon k10 + attn drop p50,label k-anon k10 + attn drop p50,Label k-anon + dropout,0.256898817345598,4,amia_auc_reduction,0.44250747804135826,AMIA
credit_rating,label_kanon_k10_a30,label k-anon k10 a30,label k-anon k10 a30,Label k-anon,0.17180417214191857,4,amia_auc_reduction,0.32864759838163077,AMIA
credit_rating,label_kanon_k10_a30+attn_drop_p10,label k-anon k10 a30 + attn drop p10,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.18363994743758222,4,amia_auc_reduction,0.37597603568711524,AMIA
credit_rating,label_kanon_k10_a30+attn_drop_p30,label k-anon k10 a30 + attn drop p30,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.19678055190538768,4,amia_auc_reduction,0.3936471228992323,AMIA
credit_rating,label_kanon_k10_a30+attn_drop_p50,label k-anon k10 a30 + attn drop p50,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.21287779237844948,4,amia_auc_reduction,0.41199253060377616,AMIA
credit_rating,label_kanon_k10_a50,label k-anon k10 a50,label k-anon k10 a50,Label k-anon,0.10742917214191856,4,amia_auc_reduction,0.20691394633100485,AMIA
credit_rating,label_kanon_k10_a50+attn_drop_p10,label k-anon k10 a50 + attn drop p10,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.14454664914586074,4,amia_auc_reduction,0.291100698526869,AMIA
credit_rating,label_kanon_k10_a50+attn_drop_p30,label k-anon k10 a50 + attn drop p30,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.1606438896189225,4,amia_auc_reduction,0.33448025451276014,AMIA
credit_rating,label_kanon_k10_a50+attn_drop_p50,label k-anon k10 a50 + attn drop p50,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.1787122207621551,4,amia_auc_reduction,0.3526413047237014,AMIA
credit_rating,label_kanon_k3,label k-anon k3,label k-anon k3,Label k-anon,0.18790417214191857,4,amia_auc_reduction,0.3286279307006016,AMIA
credit_rating,label_kanon_k3+attn_drop_p10,label k-anon k3 + attn drop p10,label k-anon k3 + attn drop p10,Label k-anon + dropout,0.19809461235216827,4,amia_auc_reduction,0.3520640258662424,AMIA
credit_rating,label_kanon_k3+attn_drop_p30,label k-anon k3 + attn drop p30,label k-anon k3 + attn drop p30,Label k-anon + dropout,0.2122207621550592,4,amia_auc_reduction,0.37725378656891895,AMIA
credit_rating,label_kanon_k3+attn_drop_p50,label k-anon k3 + attn drop p50,label k-anon k3 + attn drop p50,Label k-anon + dropout,0.23028909329829175,4,amia_auc_reduction,0.38822381388754407,AMIA
credit_rating,label_kanon_k3_a30,label k-anon k3 a30,label k-anon k3 a30,Label k-anon,0.12317917214191855,4,amia_auc_reduction,0.167838370565046,AMIA
credit_rating,label_kanon_k3_a30+attn_drop_p10,label k-anon k3 a30 + attn drop p10,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.1580157687253614,4,amia_auc_reduction,0.23697740161836914,AMIA
credit_rating,label_kanon_k3_a30+attn_drop_p30,label k-anon k3 a30 + attn drop p30,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.1750985545335086,4,amia_auc_reduction,0.2869181824469188,AMIA
credit_rating,label_kanon_k3_a30+attn_drop_p50,label k-anon k3 a30 + attn drop p50,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.18659658344283842,4,amia_auc_reduction,0.31292404384812217,AMIA
credit_rating,label_kanon_k3_a50,label k-anon k3 a50,label k-anon k3 a50,Label k-anon,0.08410417214191857,4,amia_auc_reduction,0.08498404972681364,AMIA
credit_rating,label_kanon_k3_a50+attn_drop_p10,label k-anon k3 a50 + attn drop p10,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.12122207621550597,4,amia_auc_reduction,0.17012846669894177,AMIA
credit_rating,label_kanon_k3_a50+attn_drop_p30,label k-anon k3 a50 + attn drop p30,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.1429040735873851,4,amia_auc_reduction,0.21774305795698176,AMIA
credit_rating,label_kanon_k3_a50+attn_drop_p50,label k-anon k3 a50 + attn drop p50,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.1622864651773982,4,amia_auc_reduction,0.25386351061622514,AMIA
credit_rating,label_kanon_k5,label k-anon k5,label k-anon k5,Label k-anon,0.19710417214191855,4,amia_auc_reduction,0.41660470986928555,AMIA
credit_rating,label_kanon_k5+attn_drop_p10,label k-anon k5 + attn drop p10,label k-anon k5 + attn drop p10,Label k-anon + dropout,0.20827858081471753,4,amia_auc_reduction,0.4251633930423957,AMIA
credit_rating,label_kanon_k5+attn_drop_p30,label k-anon k5 + attn drop p30,label k-anon k5 + attn drop p30,Label k-anon + dropout,0.23850197109067023,4,amia_auc_reduction,0.43253423473269237,AMIA
credit_rating,label_kanon_k5+attn_drop_p50,label k-anon k5 + attn drop p50,label k-anon k5 + attn drop p50,Label k-anon + dropout,0.24802890932982924,4,amia_auc_reduction,0.4323613320423265,AMIA
credit_rating,label_kanon_k5_a30,label k-anon k5 a30,label k-anon k5 a30,Label k-anon,0.13337917214191858,4,amia_auc_reduction,0.28173326301957247,AMIA
credit_rating,label_kanon_k5_a30+attn_drop_p10,label k-anon k5 a30 + attn drop p10,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.17115637319316696,4,amia_auc_reduction,0.3476785652534753,AMIA
credit_rating,label_kanon_k5_a30+attn_drop_p30,label k-anon k5 a30 + attn drop p30,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.1829829172141919,4,amia_auc_reduction,0.38157376028771006,AMIA
credit_rating,label_kanon_k5_a30+attn_drop_p50,label k-anon k5 a30 + attn drop p50,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.19875164257555855,4,amia_auc_reduction,0.39587756760495185,AMIA
credit_rating,label_kanon_k5_a50,label k-anon k5 a50,label k-anon k5 a50,Label k-anon,0.10020417214191857,4,amia_auc_reduction,0.15352397295801912,AMIA
credit_rating,label_kanon_k5_a50+attn_drop_p10,label k-anon k5 a50 + attn drop p10,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.1412614980289094,4,amia_auc_reduction,0.2523631475205752,AMIA
credit_rating,label_kanon_k5_a50+attn_drop_p30,label k-anon k5 a50 + attn drop p30,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.15275952693823924,4,amia_auc_reduction,0.28644032263642016,AMIA
credit_rating,label_kanon_k5_a50+attn_drop_p50,label k-anon k5 a50 + attn drop p50,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.1718134034165572,4,amia_auc_reduction,0.3153732104571546,AMIA
dropout_success,attn_drop_p10,attn drop p10,attn drop p10,Attention dropout,0.006490717299578064,4,amia_auc_reduction,0.10775480410612134,AMIA
dropout_success,attn_drop_p30,attn drop p30,attn drop p30,Attention dropout,0.023365717299578065,4,amia_auc_reduction,0.14347086107850165,AMIA
dropout_success,attn_drop_p50,attn drop p50,attn drop p50,Attention dropout,0.03919071729957807,4,amia_auc_reduction,0.17352157174358285,AMIA
dropout_success,attn_drop_p70,attn drop p70,attn drop p70,Attention dropout,0.0608657172995781,4,amia_auc_reduction,0.21380293291273667,AMIA
dropout_success,attn_drop_p90,attn drop p90,attn drop p90,Attention dropout,0.11226571729957806,4,amia_auc_reduction,0.2807194287211225,AMIA
dropout_success,highrisk_label_kanon_k10,high-risk label k-anon k10,high-risk label k-anon k10,High-risk label k-anon,0.04203051537070526,4,amia_auc_reduction,0.7692404500121899,AMIA
dropout_success,highrisk_label_kanon_k10_a30,high-risk label k-anon k10 a30,high-risk label k-anon k10 a30,High-risk label k-anon,0.026229128993369488,4,amia_auc_reduction,0.7471410077677387,AMIA
dropout_success,highrisk_label_kanon_k10_a50,high-risk label k-anon k10 a50,high-risk label k-anon k10 a50,High-risk label k-anon,0.019281208559373125,4,amia_auc_reduction,0.4961996522157439,AMIA
dropout_success,highrisk_label_kanon_k3,high-risk label k-anon k3,high-risk label k-anon k3,High-risk label k-anon,0.026979128993369517,4,amia_auc_reduction,0.7579976844660846,AMIA
dropout_success,highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,high-risk label k-anon k3 a30,High-risk label k-anon,0.020932594936708876,4,amia_auc_reduction,0.49907758328455554,AMIA
dropout_success,highrisk_label_kanon_k3_a50,high-risk label k-anon k3 a50,high-risk label k-anon k3 a50,High-risk label k-anon,0.012806208559373117,4,amia_auc_reduction,0.3379157596916884,AMIA
dropout_success,highrisk_label_kanon_k5,high-risk label k-anon k5,high-risk label k-anon k5,High-risk label k-anon,0.03408120855937316,4,amia_auc_reduction,0.7683872031961853,AMIA
dropout_success,highrisk_label_kanon_k5_a30,high-risk label k-anon k5 a30,high-risk label k-anon k5 a30,High-risk label k-anon,0.02455690174804101,4,amia_auc_reduction,0.7028908476278404,AMIA
dropout_success,highrisk_label_kanon_k5_a50,high-risk label k-anon k5 a50,high-risk label k-anon k5 a50,High-risk label k-anon,0.016556208559373148,4,amia_auc_reduction,0.42493335527876697,AMIA
dropout_success,label_kanon_k10,label k-anon k10,label k-anon k10,Label k-anon,0.06974071729957804,4,amia_auc_reduction,0.4108765602058801,AMIA
dropout_success,label_kanon_k10+attn_drop_p10,label k-anon k10 + attn drop p10,label k-anon k10 + attn drop p10,Label k-anon + dropout,0.07911392405063294,4,amia_auc_reduction,0.416264545662307,AMIA
dropout_success,label_kanon_k10+attn_drop_p30,label k-anon k10 + attn drop p30,label k-anon k10 + attn drop p30,Label k-anon + dropout,0.08694996986136228,4,amia_auc_reduction,0.42138829574451153,AMIA
dropout_success,label_kanon_k10+attn_drop_p50,label k-anon k10 + attn drop p50,label k-anon k10 + attn drop p50,Label k-anon + dropout,0.12040385774562987,4,amia_auc_reduction,0.420201280319851,AMIA
dropout_success,label_kanon_k10_a30,label k-anon k10 a30,label k-anon k10 a30,Label k-anon,0.03509071729957808,4,amia_auc_reduction,0.2348055122278575,AMIA
dropout_success,label_kanon_k10_a30+attn_drop_p10,label k-anon k10 a30 + attn drop p10,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.045358649789029565,4,amia_auc_reduction,0.30540935863743557,AMIA
dropout_success,label_kanon_k10_a30+attn_drop_p30,label k-anon k10 a30 + attn drop p30,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.05711271850512359,4,amia_auc_reduction,0.31862339819226304,AMIA
dropout_success,label_kanon_k10_a30+attn_drop_p50,label k-anon k10 a30 + attn drop p50,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.09071729957805907,4,amia_auc_reduction,0.3349370485789786,AMIA
dropout_success,label_kanon_k10_a50,label k-anon k10 a50,label k-anon k10 a50,Label k-anon,0.022615717299578092,4,amia_auc_reduction,0.15052587290323902,AMIA
dropout_success,label_kanon_k10_a50+attn_drop_p10,label k-anon k10 a50 + attn drop p10,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.035412899336949966,4,amia_auc_reduction,0.24093220314350156,AMIA
dropout_success,label_kanon_k10_a50+attn_drop_p30,label k-anon k10 a50 + attn drop p30,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.0456600361663653,4,amia_auc_reduction,0.2563086763306508,AMIA
dropout_success,label_kanon_k10_a50+attn_drop_p50,label k-anon k10 a50 + attn drop p50,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.06901748040988548,4,amia_auc_reduction,0.2654791607397645,AMIA
dropout_success,label_kanon_k3,label k-anon k3,label k-anon k3,Label k-anon,0.03556571729957808,4,amia_auc_reduction,0.3199596988824905,AMIA
dropout_success,label_kanon_k3+attn_drop_p10,label k-anon k3 + attn drop p10,label k-anon k3 + attn drop p10,Label k-anon + dropout,0.047619047619047616,4,amia_auc_reduction,0.3691446294909567,AMIA
dropout_success,label_kanon_k3+attn_drop_p30,label k-anon k3 + attn drop p30,label k-anon k3 + attn drop p30,Label k-anon + dropout,0.06585292344786017,4,amia_auc_reduction,0.3745159923714184,AMIA
dropout_success,label_kanon_k3+attn_drop_p50,label k-anon k3 + attn drop p50,label k-anon k3 + attn drop p50,Label k-anon + dropout,0.09147076552139843,4,amia_auc_reduction,0.3882762606725112,AMIA
dropout_success,label_kanon_k3_a30,label k-anon k3 a30,label k-anon k3 a30,Label k-anon,0.025765717299578078,4,amia_auc_reduction,0.18274982641670665,AMIA
dropout_success,label_kanon_k3_a30+attn_drop_p10,label k-anon k3 a30 + attn drop p10,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.03541289933694999,4,amia_auc_reduction,0.26576442412675155,AMIA
dropout_success,label_kanon_k3_a30+attn_drop_p30,label k-anon k3 a30 + attn drop p30,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.05108499095840868,4,amia_auc_reduction,0.28478469313271415,AMIA
dropout_success,label_kanon_k3_a30+attn_drop_p50,label k-anon k3 a30 + attn drop p50,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.07956600361663654,4,amia_auc_reduction,0.29891778855429363,AMIA
dropout_success,label_kanon_k3_a50,label k-anon k3 a50,label k-anon k3 a50,Label k-anon,0.019590717299578064,4,amia_auc_reduction,0.11268194453981978,AMIA
dropout_success,label_kanon_k3_a50+attn_drop_p10,label k-anon k3 a50 + attn drop p10,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.0281796262808921,4,amia_auc_reduction,0.21156156475301757,AMIA
dropout_success,label_kanon_k3_a50+attn_drop_p30,label k-anon k3 a50 + attn drop p30,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.03782399035563594,4,amia_auc_reduction,0.23254842982965754,AMIA
dropout_success,label_kanon_k3_a50+attn_drop_p50,label k-anon k3 a50 + attn drop p50,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.04776974080771551,4,amia_auc_reduction,0.24428283303921364,AMIA
dropout_success,label_kanon_k5,label k-anon k5,label k-anon k5,Label k-anon,0.05214071729957809,4,amia_auc_reduction,0.38766440454299533,AMIA
dropout_success,label_kanon_k5+attn_drop_p10,label k-anon k5 + attn drop p10,label k-anon k5 + attn drop p10,Label k-anon + dropout,0.06389391199517785,4,amia_auc_reduction,0.40526875707821974,AMIA
dropout_success,label_kanon_k5+attn_drop_p30,label k-anon k5 + attn drop p30,label k-anon k5 + attn drop p30,Label k-anon + dropout,0.07127787823990359,4,amia_auc_reduction,0.4105603225106738,AMIA
dropout_success,label_kanon_k5+attn_drop_p50,label k-anon k5 + attn drop p50,label k-anon k5 + attn drop p50,Label k-anon + dropout,0.10578661844484633,4,amia_auc_reduction,0.41224338103558456,AMIA
dropout_success,label_kanon_k5_a30,label k-anon k5 a30,label k-anon k5 a30,Label k-anon,0.02894071729957806,4,amia_auc_reduction,0.21219603848589577,AMIA
dropout_success,label_kanon_k5_a30+attn_drop_p10,label k-anon k5 a30 + attn drop p10,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.04128993369499703,4,amia_auc_reduction,0.290197022033724,AMIA
