dataset,param_track,param_value,alpha,model,model_label,amia_row_max_auc,accuracy,amia_auc_reduction,accuracy_drop,tradeoff_score,n_defenses
dropout_success,High-risk label k-anon k,3.0,base,tabicl,TabICL,0.0822688526353232,0.7715,0.9100800390657784,0.011501808318264084,0.6343469440438675,1
dropout_success,High-risk label k-anon k,3.0,base,tabpfn,TabPFN,0.2966991742485596,0.7378,0.5971706740699805,0.04640735382760697,0.3384525133153192,1
dropout_success,High-risk label k-anon k,5.0,base,real-tabpfn,Real TabPFN,0.3303094778476471,0.7251,0.5532042331433454,0.05609349005424957,0.3197416808458147,1
dropout_success,High-risk label k-anon k,5.0,base,tabdpt,TabDPT,0.0056098923038744,0.7691380349608198,0.9935816873349778,0.004822182037371947,0.6384764128372067,1
dropout_success,High-risk label k-anon k,5.0,base,tabicl,TabICL,0.0726306652554735,0.7655,0.9197182264456282,0.01750180831826409,0.6424729544330684,1
dropout_success,High-risk label k-anon k,5.0,base,tabpfn,TabPFN,0.2868251824577505,0.7263,0.6070446658607895,0.05790735382760703,0.3468551867705368,1
dropout_success,High-risk label k-anon k,10.0,base,real-tabpfn,Real TabPFN,0.3288134460107816,0.7107,0.5547002649802109,0.07049349005424954,0.3133818300892967,1
dropout_success,High-risk label k-anon k,10.0,base,tabdpt,TabDPT,0.0058119065604129,0.7697408077154912,0.9933796730784393,0.0042194092827004814,0.6668748576180993,1
dropout_success,High-risk label k-anon k,10.0,base,tabicl,TabICL,0.0688821381247045,0.7643,0.9234667535763972,0.018701808318264068,0.6737393886380061,1
dropout_success,High-risk label k-anon k,10.0,base,tabpfn,TabPFN,0.288454739904828,0.7095,0.605415108413712,0.07470735382760696,0.3383171520277181,1
dropout_success,Label k-anon k,3.0,base,real-tabpfn,Real TabPFN,0.5517301830736033,0.7306,0.3317835279173892,0.05059349005424951,0.20827796965498796,1
dropout_success,Label k-anon k,3.0,base,tabdpt,TabDPT,0.7195464416605718,0.7601,0.2796451379782804,0.013860216998191732,0.3081709455175542,1
dropout_success,Label k-anon k,3.0,base,tabicl,TabICL,0.6611972033378859,0.7631,0.33115168836321573,0.019901808318264047,0.2791555917073874,1
dropout_success,Label k-anon k,3.0,base,tabpfn,TabPFN,0.5566114070474635,0.7263,0.3372584412710766,0.05790735382760703,0.20201414401363815,1
dropout_success,Label k-anon k,5.0,base,real-tabpfn,Real TabPFN,0.5336281070137825,0.7179,0.34988560397721,0.06329349005424956,0.20989028006224641,1
dropout_success,Label k-anon k,5.0,base,tabdpt,TabDPT,0.5739172344684282,0.7456,0.42527434517042395,0.02836021699819169,0.3939385962407181,1
dropout_success,Label k-anon k,5.0,base,tabicl,TabICL,0.5782403758918512,0.7432,0.41410851580925045,0.039801808318264076,0.30730328378534016,1
dropout_success,Label k-anon k,5.0,base,tabpfn,TabPFN,0.5324806951034433,0.7071,0.3613891532150968,0.07710735382760703,0.20284316721294077,1
dropout_success,Label k-anon k,10.0,base,real-tabpfn,Real TabPFN,0.5280965134010662,0.6992,0.3554171975899263,0.0819934900542495,0.1959008274227813,1
dropout_success,Label k-anon k,10.0,base,tabdpt,TabDPT,0.5337779826987142,0.7288,0.46541359694013795,0.04516021699819173,0.4113772877115381,1
dropout_success,Label k-anon k,10.0,base,tabicl,TabICL,0.534150219399836,0.7294,0.45819867230126565,0.053601808318264,0.32170362016087745,1
dropout_success,Label k-anon k,10.0,base,tabpfn,TabPFN,0.5293930743263496,0.686,0.3644767739921905,0.09820735382760692,0.18735042533811058,1
locations,Attention dropout p,10.0,base,real-tabpfn,Real TabPFN,0.9326913263446426,0.7944,0.014558152419554604,-0.003122741433021825,0.008768855128036823,1
locations,Attention dropout p,10.0,base,tabdpt,TabDPT,0.9999465399176716,0.7757,5.346008232842703e-05,0.006231464174454859,-0.006015801342334204,1
locations,Attention dropout p,10.0,base,tabicl,TabICL,0.5246062178935755,0.8115,0.47374137956172446,0.04831308411214952,0.3161564946710018,1
locations,Attention dropout p,10.0,base,tabpfn,TabPFN,0.9318383950311284,0.8115,0.00932392435884355,-0.001531152647975098,0.016664000952561486,1
locations,Attention dropout p,30.0,base,real-tabpfn,Real TabPFN,0.9008631373292316,0.796,0.04638634143496556,-0.004722741433021871,0.039175334490015035,1
locations,Attention dropout p,30.0,base,tabdpt,TabDPT,0.99900855847318,0.7383,0.0009914415268199583,0.04363146417445485,-0.021039111882232342,1
locations,Attention dropout p,30.0,base,tabicl,TabICL,0.5147428327039624,0.6215,0.4836047647513376,0.23831308411214946,0.1741247685421436,1
locations,Attention dropout p,30.0,base,tabpfn,TabPFN,0.9102040717142704,0.8069,0.030958247675701545,0.0030688473520249504,0.026745476062033147,1
locations,Attention dropout p,50.0,base,real-tabpfn,Real TabPFN,0.8663838142310739,0.7804,0.08086566453312327,0.010877258566978187,0.04920519145999486,1
locations,Attention dropout p,50.0,base,tabdpt,TabDPT,0.9646458755546484,0.4315,0.035354124445351576,0.3504314641744548,-0.22617322281676316,1
locations,Attention dropout p,50.0,base,tabicl,TabICL,0.4909142160078927,0.1869,0.5074333814474072,0.6729130841121496,-0.23929896384640442,1
locations,Attention dropout p,50.0,base,tabpfn,TabPFN,0.8845602422227731,0.8006,0.056602077167198894,0.009368847352024923,0.04107256282774674,1
locations,Attention dropout p,70.0,base,real-tabpfn,Real TabPFN,0.819064351359101,0.7757,0.12818512740509613,0.015577258566978225,0.07818565082790219,1
locations,Attention dropout p,70.0,base,tabdpt,TabDPT,0.7850297189457672,0.1433,0.21497028105423277,0.6386314641744548,-0.37864111128931144,1
locations,Attention dropout p,70.0,base,tabicl,TabICL,0.4911815164195353,0.1822,0.5071660810357648,0.6776130841121495,-0.21570886027964475,1
locations,Attention dropout p,70.0,base,tabpfn,TabPFN,0.8530260836601687,0.8162,0.08813623572980323,-0.006231152647975136,0.07740413975437532,1
locations,Attention dropout p,90.0,base,real-tabpfn,Real TabPFN,0.7569656057270329,0.7336,0.19028387303716432,0.05767725856697814,0.09592813798533245,1
locations,Attention dropout p,90.0,base,tabdpt,TabDPT,0.6426339296562517,0.0872,0.35736607034374834,0.6947314641744549,-0.32633256934015686,1
locations,Attention dropout p,90.0,base,tabicl,TabICL,0.5104611661101959,0.1449,0.4878864313451041,0.7149130841121495,-0.26854994921292175,1
locations,Attention dropout p,90.0,base,tabpfn,TabPFN,0.7998648917919334,0.7975,0.14129742759803854,0.012468847352024914,0.10336943103892376,1
locations,High-risk label k-anon k,3.0,base,real-tabpfn,Real TabPFN,0.3620462575512366,0.7539,0.5852032212129605,0.037377258566978155,0.41652131793682967,1
locations,High-risk label k-anon k,3.0,base,tabdpt,TabDPT,0.1729142062878776,0.7897196261682243,0.8270857937121224,-0.007788161993769527,0.6787948153440156,1
locations,High-risk label k-anon k,3.0,base,tabicl,TabICL,0.0597003319385111,0.8582554517133957,0.9386472655167889,0.0015576323987538387,0.717976803184277,1
locations,High-risk label k-anon k,3.0,base,tabpfn,TabPFN,0.3782932625716243,0.7601,0.5628690568183476,0.0498688473520249,0.40589779452860364,1
locations,High-risk label k-anon k,5.0,base,real-tabpfn,Real TabPFN,0.3300066582102536,0.6963,0.6172428205539435,0.09497725856697814,0.4347562672226515,1
locations,High-risk label k-anon k,5.0,base,tabdpt,TabDPT,0.0,0.7897196261682243,1.0,-0.007788161993769527,0.8384837262649385,1
locations,High-risk label k-anon k,5.0,base,tabicl,TabICL,0.0160453147097846,0.8551401869158879,0.9823022827455153,0.004672897196261627,0.8268512983509996,1
locations,High-risk label k-anon k,5.0,base,tabpfn,TabPFN,0.3393706776308435,0.715,0.6017916417591285,0.09496884735202493,0.441085118171082,1
locations,High-risk label k-anon k,10.0,base,real-tabpfn,Real TabPFN,0.3170595982717814,0.5841,0.6301898804924158,0.20717725856697822,0.3578952041446143,1
locations,High-risk label k-anon k,10.0,base,tabdpt,TabDPT,0.0,0.7897196261682243,1.0,-0.007788161993769527,0.8675854510815947,1
locations,High-risk label k-anon k,10.0,base,tabicl,TabICL,0.0142835619966854,0.8489096573208723,0.9840640354586146,0.010903426791277204,0.8627053960663101,1
locations,High-risk label k-anon k,10.0,base,tabpfn,TabPFN,0.3331243530115036,0.6075,0.6080379663784683,0.20246884735202486,0.3688329299527122,1
locations,Label k-anon k,3.0,base,real-tabpfn,Real TabPFN,0.8477396105190003,0.7181,0.09950986824519692,0.07317725856697821,0.03179404308882622,1
locations,Label k-anon k,3.0,base,tabdpt,TabDPT,0.7800749413154097,0.5623,0.21992505868459034,0.21963146417445478,0.018973033276471207,1
locations,Label k-anon k,3.0,base,tabicl,TabICL,0.7613177424293234,0.824,0.23702985502597662,0.03581308411214956,0.11713803393257216,1
locations,Label k-anon k,3.0,base,tabpfn,TabPFN,0.8532751590437448,0.7461,0.08788716034622712,0.06386884735202492,0.054406724792356254,1
locations,Label k-anon k,5.0,base,real-tabpfn,Real TabPFN,0.7956950053703082,0.6277,0.15155447339388894,0.16357725856697813,-0.0004195173040566491,1
locations,Label k-anon k,5.0,base,tabdpt,TabDPT,0.617116460359349,0.3769,0.382883539640651,0.4050314641744548,-0.06134327739464718,1
locations,Label k-anon k,5.0,base,tabicl,TabICL,0.6387823737248557,0.7632,0.3595652237304443,0.09661308411214953,0.14315234762661527,1
locations,Label k-anon k,5.0,base,tabpfn,TabPFN,0.7936124921632379,0.6402,0.14754982722673404,0.1697688473520249,0.019109876021209116,1
locations,Label k-anon k,10.0,base,real-tabpfn,Real TabPFN,0.7514179071835771,0.4673,0.19583157158062003,0.3239772585669782,-0.10644089356097614,1
locations,Label k-anon k,10.0,base,tabdpt,TabDPT,0.5405689124761252,0.2928,0.45943108752387485,0.4891314641744548,-0.0927996763235015,1
locations,Label k-anon k,10.0,base,tabicl,TabICL,0.5674666238986008,0.6184,0.4308809735566992,0.24141308411214957,0.06913653413426246,1
locations,Label k-anon k,10.0,base,tabpfn,TabPFN,0.7556752737399215,0.4486,0.18548704565005047,0.3613688473520249,-0.13387371950952798,1
